Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",1.460,1.430,1.460,1.420,226.10K,2.82%
"Nov 25, 2020",1.420,1.410,1.430,1.410,68.90K,0.71%
"Nov 24, 2020",1.410,1.430,1.430,1.410,225.60K,-0.70%
"Nov 23, 2020",1.420,1.420,1.440,1.410,240.50K,0.71%
"Nov 20, 2020",1.410,1.410,1.450,1.410,381.10K,1.44%
"Nov 19, 2020",1.390,1.390,1.390,1.390,11.00K,-2.11%
"Nov 18, 2020",1.420,1.410,1.420,1.410,13.10K,0.00%
"Nov 17, 2020",1.420,1.420,1.430,1.410,142.20K,0.71%
"Nov 16, 2020",1.410,1.390,1.410,1.390,93.40K,1.44%
"Nov 13, 2020",1.390,1.370,1.390,1.370,15.30K,0.72%
"Nov 12, 2020",1.380,1.390,1.390,1.380,130.00K,1.47%
"Nov 11, 2020",1.360,1.350,1.400,1.350,297.10K,0.74%
"Nov 10, 2020",1.350,1.340,1.360,1.340,186.20K,-0.74%
"Nov 09, 2020",1.360,1.350,1.360,1.340,295.00K,0.74%
"Nov 06, 2020",1.350,1.350,1.360,1.350,204.00K,0.75%
"Nov 05, 2020",1.340,1.350,1.350,1.340,46.70K,-0.74%
"Nov 04, 2020",1.350,1.380,1.380,1.350,176.90K,1.50%
"Nov 03, 2020",1.330,1.320,1.350,1.320,118.10K,0.00%
"Nov 02, 2020",1.330,1.330,1.330,1.320,75.10K,-0.75%
"Oct 30, 2020",1.340,1.380,1.380,1.340,387.30K,-2.90%
"Oct 28, 2020",1.380,1.370,1.380,1.370,42.20K,0.00%
"Oct 27, 2020",1.380,1.370,1.380,1.370,62.20K,1.47%
"Oct 26, 2020",1.360,1.390,1.390,1.360,63.00K,-2.16%
