Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.420,0.415,0.425,0.415,416.10K,1.20%
"Aug 28, 2020",0.415,0.420,0.420,0.415,824.10K,0.00%
"Aug 27, 2020",0.415,0.425,0.425,0.415,1.51M,-2.35%
"Aug 26, 2020",0.425,0.415,0.440,0.410,1.85M,2.41%
"Aug 25, 2020",0.415,0.420,0.420,0.415,1.22M,1.22%
"Aug 24, 2020",0.410,0.410,0.420,0.405,869.10K,0.00%
"Aug 21, 2020",0.410,0.410,0.415,0.410,88.80K,0.00%
"Aug 19, 2020",0.410,0.410,0.415,0.405,177.60K,0.00%
"Aug 18, 2020",0.410,0.410,0.410,0.400,322.70K,1.23%
"Aug 17, 2020",0.405,0.405,0.410,0.400,660.70K,1.25%
"Aug 14, 2020",0.400,0.405,0.405,0.400,1.13M,-1.23%
"Aug 13, 2020",0.405,0.400,0.410,0.400,1.18M,1.25%
"Aug 12, 2020",0.400,0.400,0.405,0.400,873.40K,0.00%
"Aug 11, 2020",0.400,0.405,0.410,0.400,1.02M,-1.23%
"Aug 10, 2020",0.405,0.400,0.410,0.390,1.42M,2.53%
"Aug 07, 2020",0.395,0.400,0.400,0.390,823.40K,-1.25%
"Aug 06, 2020",0.400,0.405,0.405,0.395,1.23M,1.27%
"Aug 05, 2020",0.395,0.385,0.405,0.385,2.42M,1.28%
"Aug 04, 2020",0.390,0.390,0.390,0.385,605.90K,0.00%
"Aug 03, 2020",0.390,0.400,0.405,0.385,1.93M,-2.50%
