Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.390,0.395,0.395,0.380,155.10K,0.00%
"Aug 28, 2020",0.390,0.415,0.415,0.380,375.40K,-4.88%
"Aug 27, 2020",0.410,0.410,0.455,0.395,3.01M,17.14%
"Aug 26, 2020",0.350,0.350,0.350,0.350,1.10K,1.45%
"Aug 25, 2020",0.345,0.345,0.345,0.345,19.00K,-4.17%
"Aug 24, 2020",0.360,0.345,0.360,0.345,8.40K,-1.37%
"Aug 21, 2020",0.365,0.350,0.370,0.350,23.40K,5.80%
"Aug 19, 2020",0.345,0.345,0.345,0.345,25.30K,0.00%
"Aug 18, 2020",0.345,0.345,0.345,0.345,25.30K,0.00%
"Aug 17, 2020",0.345,0.340,0.355,0.335,108.10K,-1.43%
"Aug 14, 2020",0.350,0.340,0.350,0.340,49.10K,-4.11%
"Aug 12, 2020",0.365,0.385,0.385,0.340,340.10K,-3.95%
"Aug 11, 2020",0.380,0.380,0.395,0.375,149.00K,1.33%
"Aug 10, 2020",0.375,0.380,0.380,0.365,134.60K,4.17%
"Aug 07, 2020",0.360,0.375,0.385,0.360,437.60K,-4.00%
"Aug 06, 2020",0.375,0.385,0.395,0.360,614.60K,0.00%
"Aug 05, 2020",0.375,0.340,0.395,0.340,663.20K,11.94%
"Aug 04, 2020",0.335,0.335,0.335,0.335,32.80K,3.08%
"Aug 03, 2020",0.325,0.325,0.355,0.325,125.00K,0.00%
