Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.510,0.505,0.515,0.500,3.20M,0.99%
"Nov 25, 2020",0.505,0.485,0.510,0.485,2.02M,4.12%
"Nov 24, 2020",0.485,0.510,0.510,0.485,2.27M,-4.90%
"Nov 23, 2020",0.510,0.515,0.520,0.505,1.58M,0.00%
"Nov 20, 2020",0.510,0.500,0.520,0.500,2.14M,0.99%
"Nov 19, 2020",0.505,0.520,0.520,0.500,1.25M,-2.88%
"Nov 18, 2020",0.520,0.495,0.525,0.495,9.12M,5.05%
"Nov 17, 2020",0.495,0.490,0.500,0.475,6.07M,1.02%
"Nov 16, 2020",0.490,0.490,0.490,0.465,4.03M,0.00%
"Nov 13, 2020",0.490,0.500,0.505,0.485,2.69M,-2.97%
"Nov 12, 2020",0.505,0.505,0.540,0.500,31.07M,1.00%
"Nov 11, 2020",0.500,0.470,0.500,0.460,8.38M,6.38%
"Nov 10, 2020",0.470,0.460,0.475,0.455,3.73M,0.00%
"Nov 09, 2020",0.470,0.470,0.475,0.460,3.36M,0.00%
"Nov 06, 2020",0.470,0.455,0.475,0.445,6.56M,3.30%
"Nov 05, 2020",0.455,0.440,0.455,0.435,1.31M,3.41%
"Nov 04, 2020",0.440,0.435,0.440,0.435,1.17M,2.33%
"Nov 03, 2020",0.430,0.425,0.440,0.425,2.27M,1.18%
"Nov 02, 2020",0.425,0.420,0.430,0.415,2.99M,-1.16%
"Oct 30, 2020",0.430,0.445,0.445,0.415,2.74M,-2.27%
"Oct 28, 2020",0.440,0.445,0.450,0.440,1.80M,-1.12%
"Oct 27, 2020",0.445,0.445,0.455,0.445,1.86M,0.00%
"Oct 26, 2020",0.445,0.460,0.465,0.440,4.57M,-2.20%
