Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.700,0.735,0.740,0.680,4.39M,0.00%
"Nov 25, 2020",0.700,0.710,0.730,0.665,4.61M,0.72%
"Nov 24, 2020",0.695,0.850,0.860,0.670,16.60M,-13.66%
"Nov 23, 2020",0.805,0.630,0.860,0.630,28.15M,35.29%
"Nov 20, 2020",0.595,0.515,0.610,0.515,4.94M,15.53%
"Nov 19, 2020",0.515,0.520,0.520,0.465,1.94M,-0.96%
"Nov 18, 2020",0.520,0.560,0.560,0.510,1.57M,-7.96%
"Nov 17, 2020",0.565,0.565,0.575,0.560,779.70K,0.00%
"Nov 16, 2020",0.565,0.580,0.580,0.560,846.10K,0.00%
"Nov 13, 2020",0.565,0.580,0.580,0.560,1.14M,-1.74%
"Nov 12, 2020",0.575,0.555,0.580,0.555,1.34M,4.55%
"Nov 11, 2020",0.550,0.545,0.550,0.540,716.60K,0.92%
"Nov 10, 2020",0.545,0.565,0.590,0.540,3.90M,-2.68%
"Nov 09, 2020",0.560,0.525,0.565,0.525,4.86M,9.80%
"Nov 06, 2020",0.510,0.510,0.530,0.485,2.39M,0.99%
"Nov 05, 2020",0.505,0.480,0.510,0.480,977.30K,4.12%
"Nov 04, 2020",0.485,0.480,0.495,0.470,811.20K,1.04%
"Nov 03, 2020",0.480,0.505,0.505,0.460,936.30K,-1.03%
"Nov 02, 2020",0.485,0.450,0.515,0.450,2.19M,3.19%
"Oct 30, 2020",0.470,0.515,0.525,0.430,2.75M,-6.00%
"Oct 28, 2020",0.500,0.515,0.530,0.500,4.46M,-1.96%
"Oct 27, 2020",0.510,0.440,0.520,0.440,8.24M,14.61%
"Oct 26, 2020",0.445,0.465,0.465,0.425,996.20K,3.49%
