Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",1.550,1.520,1.550,1.520,22.30K,-1.27%
"Aug 28, 2020",1.570,1.570,1.570,1.530,370.00K,0.64%
"Aug 27, 2020",1.560,1.600,1.600,1.550,95.30K,-2.50%
"Aug 26, 2020",1.600,1.590,1.600,1.570,2.22M,1.91%
"Aug 25, 2020",1.570,1.590,1.590,1.510,562.20K,-1.26%
"Aug 24, 2020",1.590,1.590,1.590,1.580,271.60K,-2.45%
"Aug 21, 2020",1.630,1.570,1.630,1.550,744.30K,1.87%
"Aug 19, 2020",1.600,1.640,1.650,1.560,680.70K,0.63%
"Aug 18, 2020",1.590,1.630,1.630,1.590,1.20M,-3.64%
"Aug 17, 2020",1.650,1.700,1.700,1.600,448.60K,-4.62%
"Aug 14, 2020",1.730,1.650,1.730,1.650,499.00K,2.37%
"Aug 13, 2020",1.690,1.650,1.710,1.570,1.12M,-0.59%
"Aug 12, 2020",1.700,1.650,1.700,1.400,2.04M,0.59%
"Aug 11, 2020",1.690,1.730,1.730,1.670,268.30K,-2.31%
"Aug 10, 2020",1.730,1.700,1.750,1.700,809.20K,2.37%
"Aug 07, 2020",1.690,1.630,1.750,1.630,389.80K,5.63%
"Aug 06, 2020",1.600,1.540,1.600,1.520,422.20K,3.90%
"Aug 05, 2020",1.540,1.520,1.610,1.520,165.40K,1.32%
"Aug 04, 2020",1.520,1.570,1.590,1.510,653.60K,-5.00%
"Aug 03, 2020",1.600,1.680,1.680,1.560,215.60K,-5.88%
