Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.250,0.245,0.250,0.245,1.61M,4.17%
"Aug 28, 2020",0.240,0.240,0.245,0.235,3.89M,0.00%
"Aug 27, 2020",0.240,0.255,0.255,0.235,9.38M,-5.88%
"Aug 26, 2020",0.255,0.255,0.260,0.250,5.88M,2.00%
"Aug 25, 2020",0.250,0.270,0.270,0.245,10.09M,-7.41%
"Aug 24, 2020",0.270,0.265,0.285,0.260,30.77M,8.00%
"Aug 21, 2020",0.250,0.240,0.260,0.235,17.58M,8.70%
"Aug 19, 2020",0.230,0.230,0.240,0.225,4.39M,0.00%
"Aug 18, 2020",0.230,0.225,0.235,0.215,7.06M,2.22%
"Aug 17, 2020",0.225,0.240,0.240,0.215,9.44M,-4.26%
"Aug 14, 2020",0.235,0.265,0.270,0.230,13.66M,-9.62%
"Aug 13, 2020",0.260,0.235,0.290,0.235,125.14M,15.56%
"Aug 12, 2020",0.225,0.230,0.235,0.200,7.99M,0.00%
"Aug 11, 2020",0.225,0.220,0.240,0.210,21.65M,4.65%
"Aug 10, 2020",0.215,0.200,0.215,0.195,7.07M,7.50%
"Aug 07, 2020",0.200,0.195,0.205,0.190,5.98M,2.56%
"Aug 06, 2020",0.195,0.195,0.200,0.190,1.90M,0.00%
"Aug 05, 2020",0.195,0.185,0.200,0.180,4.47M,5.41%
"Aug 04, 2020",0.185,0.185,0.185,0.175,1.92M,0.00%
"Aug 03, 2020",0.185,0.195,0.195,0.185,2.20M,-5.13%
