Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.560,0.570,0.570,0.555,1.59M,-1.75%
"Aug 28, 2020",0.570,0.585,0.595,0.555,16.76M,-1.72%
"Aug 27, 2020",0.580,0.550,0.585,0.540,21.99M,6.42%
"Aug 26, 2020",0.545,0.555,0.560,0.535,7.22M,-1.80%
"Aug 25, 2020",0.555,0.605,0.605,0.550,23.71M,-8.26%
"Aug 24, 2020",0.605,0.590,0.615,0.575,31.60M,5.22%
"Aug 21, 2020",0.575,0.545,0.580,0.530,17.31M,6.48%
"Aug 19, 2020",0.540,0.545,0.560,0.525,9.39M,0.00%
"Aug 18, 2020",0.540,0.515,0.545,0.510,10.47M,6.93%
"Aug 17, 2020",0.505,0.515,0.520,0.490,5.96M,0.00%
"Aug 14, 2020",0.505,0.545,0.545,0.500,11.33M,-7.34%
"Aug 13, 2020",0.545,0.560,0.570,0.535,5.77M,-1.80%
"Aug 12, 2020",0.555,0.580,0.585,0.500,14.93M,-6.72%
"Aug 11, 2020",0.595,0.600,0.630,0.580,25.49M,2.59%
"Aug 10, 2020",0.580,0.590,0.600,0.565,16.76M,2.65%
"Aug 07, 2020",0.565,0.620,0.620,0.560,21.24M,-8.13%
"Aug 06, 2020",0.615,0.665,0.670,0.605,27.76M,-2.38%
"Aug 05, 2020",0.630,0.535,0.670,0.530,145.07M,21.15%
"Aug 04, 2020",0.520,0.490,0.525,0.490,20.18M,7.22%
"Aug 03, 2020",0.485,0.480,0.495,0.480,5.25M,2.11%
