Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.840,0.840,0.840,0.840,-,0.00%
"Nov 25, 2020",0.840,0.870,0.870,0.840,121.40K,-3.45%
"Nov 24, 2020",0.870,0.870,0.870,0.870,7.50K,0.00%
"Nov 23, 2020",0.870,0.870,0.870,0.870,1.10K,0.00%
"Nov 20, 2020",0.870,0.870,0.870,0.870,1.00K,-3.33%
"Nov 19, 2020",0.900,0.900,0.900,0.870,1.90K,0.00%
"Nov 18, 2020",0.900,0.870,0.900,0.870,19.90K,0.00%
"Nov 12, 2020",0.900,0.900,0.900,0.900,16.10K,3.45%
"Nov 09, 2020",0.870,0.870,0.870,0.870,11.20K,0.00%
"Nov 05, 2020",0.870,0.870,0.870,0.870,1.70K,0.00%
"Nov 04, 2020",0.870,0.870,0.870,0.870,10.00K,-8.42%
"Oct 27, 2020",0.950,0.870,0.950,0.870,21.10K,-2.56%
