Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",2.080,2.090,2.100,2.080,56.50K,-0.48%
"Aug 28, 2020",2.090,2.070,2.110,2.050,137.00K,0.97%
"Aug 27, 2020",2.070,2.040,2.090,2.040,79.10K,2.99%
"Aug 26, 2020",2.010,2.020,2.030,2.010,330.10K,-0.50%
"Aug 25, 2020",2.020,2.020,2.040,2.020,144.30K,0.00%
"Aug 24, 2020",2.020,2.020,2.020,2.000,232.20K,0.50%
"Aug 21, 2020",2.010,2.020,2.040,2.010,120.10K,0.00%
"Aug 19, 2020",2.010,2.030,2.030,2.010,363.30K,-0.50%
"Aug 18, 2020",2.020,2.050,2.060,2.010,313.80K,-0.98%
"Aug 17, 2020",2.040,2.050,2.050,2.040,241.60K,-0.49%
"Aug 14, 2020",2.050,2.060,2.070,2.000,400.50K,0.00%
"Aug 13, 2020",2.050,2.040,2.050,2.020,392.40K,1.99%
"Aug 12, 2020",2.010,2.080,2.080,2.010,505.20K,-2.43%
"Aug 11, 2020",2.060,2.050,2.060,2.030,411.90K,-0.96%
"Aug 10, 2020",2.080,2.050,2.080,2.010,165.20K,2.46%
"Aug 07, 2020",2.030,2.070,2.070,2.030,217.90K,0.00%
"Aug 06, 2020",2.030,2.060,2.090,2.030,149.70K,-1.46%
"Aug 05, 2020",2.060,2.120,2.120,2.030,278.20K,-2.83%
"Aug 04, 2020",2.120,2.130,2.130,2.100,239.50K,-0.47%
"Aug 03, 2020",2.130,2.160,2.160,2.130,90.30K,-1.39%
