Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",1.200,1.160,1.210,1.150,8.63M,2.56%
"Nov 25, 2020",1.170,1.160,1.180,1.160,3.44M,0.86%
"Nov 24, 2020",1.160,1.190,1.200,1.150,8.26M,-2.52%
"Nov 23, 2020",1.190,1.220,1.220,1.170,9.51M,-2.46%
"Nov 20, 2020",1.220,1.220,1.240,1.210,11.64M,0.83%
"Nov 19, 2020",1.210,1.220,1.270,1.210,25.60M,-0.82%
"Nov 18, 2020",1.220,1.240,1.240,1.210,18.98M,0.00%
"Nov 17, 2020",1.220,1.180,1.260,1.150,36.15M,3.39%
"Nov 16, 2020",1.180,1.190,1.200,1.170,14.10M,0.85%
"Nov 13, 2020",1.170,1.160,1.190,1.140,13.83M,0.86%
"Nov 12, 2020",1.160,1.190,1.200,1.150,11.97M,-2.52%
"Nov 11, 2020",1.190,1.190,1.200,1.140,45.00M,1.71%
"Nov 10, 2020",1.170,1.200,1.220,1.160,26.45M,0.00%
"Nov 09, 2020",1.170,1.170,1.180,1.150,16.51M,1.74%
"Nov 06, 2020",1.150,1.190,1.200,1.150,29.11M,-2.54%
"Nov 05, 2020",1.180,1.050,1.220,1.040,35.34M,13.46%
"Nov 04, 2020",1.040,1.040,1.050,1.030,6.94M,0.97%
"Nov 03, 2020",1.030,1.040,1.050,1.020,5.34M,0.00%
"Nov 02, 2020",1.030,1.060,1.060,1.020,3.74M,-2.83%
"Oct 30, 2020",1.060,1.100,1.110,1.060,13.27M,-1.85%
"Oct 28, 2020",1.080,1.100,1.100,1.080,3.40M,-0.92%
"Oct 27, 2020",1.090,1.070,1.100,1.060,5.02M,3.81%
"Oct 26, 2020",1.050,1.090,1.110,1.050,6.22M,-2.78%
