Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.900,0.915,0.935,0.900,98.40K,-1.10%
"Aug 28, 2020",0.910,0.920,0.960,0.910,79.10K,-1.09%
"Aug 27, 2020",0.920,0.920,0.925,0.920,81.10K,0.00%
"Aug 26, 2020",0.920,0.965,0.965,0.905,1.90K,1.66%
"Aug 25, 2020",0.905,0.960,0.960,0.905,126.00K,-6.22%
"Aug 24, 2020",0.965,0.940,0.995,0.940,163.60K,3.76%
"Aug 21, 2020",0.930,0.930,0.960,0.920,224.30K,0.54%
"Aug 19, 2020",0.925,0.920,0.925,0.890,171.10K,0.54%
"Aug 18, 2020",0.920,0.960,0.960,0.880,928.00K,-14.02%
"Aug 17, 2020",1.070,1.040,1.140,1.020,1.24M,4.90%
"Aug 14, 2020",1.020,1.050,1.060,0.975,596.20K,3.03%
"Aug 13, 2020",0.990,0.960,1.070,0.960,1.30M,6.45%
"Aug 12, 2020",0.930,0.900,0.965,0.890,396.80K,6.29%
"Aug 11, 2020",0.875,0.860,0.880,0.850,149.50K,2.94%
"Aug 10, 2020",0.850,0.840,0.850,0.840,77.40K,0.00%
"Aug 07, 2020",0.850,0.850,0.850,0.850,24.00K,0.00%
"Aug 06, 2020",0.850,0.850,0.850,0.850,16.00K,0.00%
"Aug 05, 2020",0.850,0.830,0.850,0.830,165.50K,2.41%
"Aug 04, 2020",0.830,0.750,0.830,0.750,228.50K,2.47%
"Aug 03, 2020",0.810,0.770,0.810,0.750,51.00K,5.19%
