Date,Price,Open,High,Low,Vol.,Change %
"Nov 25, 2020",2.100,2.070,2.150,2.070,873.50K,0.48%
"Nov 24, 2020",2.090,2.090,2.110,2.050,2.16M,-1.42%
"Nov 23, 2020",2.120,2.130,2.220,2.080,3.63M,0.00%
"Nov 20, 2020",2.120,2.000,2.180,1.990,11.72M,14.59%
"Nov 19, 2020",1.850,1.840,1.860,1.800,907.50K,0.00%
"Nov 18, 2020",1.850,1.810,1.860,1.800,679.20K,1.09%
"Nov 17, 2020",1.830,1.860,1.860,1.770,701.50K,-1.08%
"Nov 16, 2020",1.850,1.780,1.850,1.780,1.31M,3.93%
"Nov 13, 2020",1.780,1.800,1.810,1.750,558.40K,-1.11%
"Nov 12, 2020",1.800,1.790,1.810,1.750,840.00K,0.56%
"Nov 11, 2020",1.790,1.650,1.790,1.650,3.39M,9.15%
"Nov 10, 2020",1.640,1.650,1.650,1.640,329.00K,-0.61%
"Nov 09, 2020",1.650,1.640,1.660,1.640,742.40K,0.61%
"Nov 06, 2020",1.640,1.640,1.640,1.610,185.90K,0.61%
"Nov 05, 2020",1.630,1.600,1.630,1.600,129.20K,1.24%
"Nov 04, 2020",1.610,1.580,1.650,1.580,532.10K,1.90%
"Nov 03, 2020",1.580,1.550,1.580,1.550,149.70K,1.94%
"Nov 02, 2020",1.550,1.570,1.570,1.540,424.50K,-1.90%
"Oct 30, 2020",1.580,1.620,1.620,1.550,836.70K,-1.86%
"Oct 28, 2020",1.610,1.630,1.660,1.590,739.20K,-1.23%
"Oct 27, 2020",1.630,1.570,1.630,1.570,234.10K,3.16%
"Oct 26, 2020",1.580,1.630,1.630,1.570,246.30K,-0.63%
