Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.990,0.980,1.010,0.975,2.76M,1.02%
"Nov 25, 2020",0.980,0.975,0.990,0.975,1.77M,1.55%
"Nov 24, 2020",0.965,0.970,0.985,0.960,3.56M,-0.52%
"Nov 23, 2020",0.970,1.020,1.020,0.970,8.54M,-3.96%
"Nov 20, 2020",1.010,1.000,1.020,0.990,3.82M,1.00%
"Nov 19, 2020",1.000,1.050,1.060,0.995,20.86M,-9.91%
"Nov 18, 2020",1.110,1.120,1.130,1.100,1.92M,0.00%
"Nov 17, 2020",1.110,1.140,1.150,1.090,4.21M,-2.63%
"Nov 16, 2020",1.140,1.080,1.140,1.080,9.13M,6.54%
"Nov 13, 2020",1.070,1.060,1.080,1.040,2.82M,0.94%
"Nov 12, 2020",1.060,1.080,1.090,1.050,1.97M,0.00%
"Nov 11, 2020",1.060,1.050,1.090,1.040,2.77M,-0.93%
"Nov 10, 2020",1.070,1.100,1.110,1.070,3.50M,-4.46%
"Nov 09, 2020",1.120,1.120,1.150,1.100,5.18M,1.82%
"Nov 06, 2020",1.100,1.070,1.120,1.030,10.11M,3.77%
"Nov 05, 2020",1.060,1.050,1.070,1.040,6.11M,1.92%
"Nov 04, 2020",1.040,0.995,1.040,0.990,7.36M,4.52%
"Nov 03, 2020",0.995,0.975,1.000,0.950,6.24M,2.58%
"Nov 02, 2020",0.970,0.950,0.990,0.920,4.61M,2.11%
"Oct 30, 2020",0.950,1.000,1.000,0.940,10.94M,-5.00%
"Oct 28, 2020",1.000,1.030,1.030,1.000,3.52M,-1.96%
"Oct 27, 2020",1.020,1.020,1.040,1.020,2.00M,-0.97%
"Oct 26, 2020",1.030,1.040,1.060,1.010,4.89M,0.00%
