Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.080,0.075,0.080,0.075,2.79M,0.00%
"Aug 28, 2020",0.080,0.080,0.080,0.075,8.42M,0.00%
"Aug 27, 2020",0.080,0.095,0.095,0.075,38.57M,-5.88%
"Aug 26, 2020",0.085,0.070,0.085,0.070,32.11M,30.77%
"Aug 25, 2020",0.065,0.065,0.065,0.065,3.53M,0.00%
"Aug 24, 2020",0.065,0.070,0.070,0.060,6.00M,-7.14%
"Aug 21, 2020",0.070,0.070,0.075,0.065,5.39M,0.00%
"Aug 19, 2020",0.070,0.070,0.070,0.065,2.01M,0.00%
"Aug 18, 2020",0.070,0.070,0.080,0.065,23.40M,16.67%
"Aug 17, 2020",0.060,0.055,0.060,0.045,10.32M,20.00%
"Aug 14, 2020",0.050,0.055,0.055,0.050,4.14M,-9.09%
"Aug 13, 2020",0.055,0.060,0.060,0.055,5.69M,-8.33%
"Aug 12, 2020",0.060,0.070,0.070,0.055,6.84M,-14.29%
"Aug 11, 2020",0.070,0.080,0.080,0.070,5.65M,-6.67%
"Aug 10, 2020",0.075,0.085,0.085,0.075,5.57M,-6.25%
"Aug 07, 2020",0.080,0.085,0.090,0.075,21.05M,0.00%
"Aug 06, 2020",0.080,0.055,0.080,0.055,7.26M,45.45%
"Aug 05, 2020",0.055,0.055,0.055,0.050,420.00K,0.00%
"Aug 04, 2020",0.055,0.055,0.055,0.050,210.00K,0.00%
"Aug 03, 2020",0.055,0.060,0.060,0.055,342.00K,-8.33%
