Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.360,0.365,0.370,0.360,2.59M,-1.37%
"Aug 28, 2020",0.365,0.360,0.380,0.360,8.78M,0.00%
"Aug 27, 2020",0.365,0.375,0.375,0.360,8.57M,-2.67%
"Aug 26, 2020",0.375,0.390,0.390,0.365,13.41M,-3.85%
"Aug 25, 2020",0.390,0.410,0.410,0.385,14.21M,-3.70%
"Aug 24, 2020",0.405,0.405,0.425,0.405,50.94M,2.53%
"Aug 21, 2020",0.395,0.375,0.400,0.370,47.28M,6.76%
"Aug 19, 2020",0.370,0.375,0.375,0.360,4.73M,-1.33%
"Aug 18, 2020",0.375,0.360,0.375,0.355,5.98M,5.63%
"Aug 17, 2020",0.355,0.350,0.365,0.345,7.19M,2.90%
"Aug 14, 2020",0.345,0.355,0.355,0.345,5.91M,-2.82%
"Aug 13, 2020",0.355,0.360,0.360,0.350,3.91M,0.00%
"Aug 12, 2020",0.355,0.360,0.360,0.340,10.87M,-1.39%
"Aug 11, 2020",0.360,0.365,0.370,0.355,5.66M,0.00%
"Aug 10, 2020",0.360,0.375,0.380,0.360,9.46M,-1.37%
"Aug 07, 2020",0.365,0.375,0.410,0.360,50.63M,-1.35%
"Aug 06, 2020",0.370,0.375,0.380,0.365,8.92M,1.37%
"Aug 05, 2020",0.365,0.340,0.375,0.340,14.91M,7.35%
"Aug 04, 2020",0.340,0.340,0.345,0.335,5.05M,0.00%
"Aug 03, 2020",0.340,0.360,0.365,0.340,7.54M,-5.56%
