Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.560,0.570,0.575,0.560,1.46M,-0.88%
"Aug 28, 2020",0.565,0.575,0.580,0.565,1.09M,-1.74%
"Aug 27, 2020",0.575,0.580,0.590,0.575,1.17M,0.00%
"Aug 26, 2020",0.575,0.565,0.610,0.555,4.84M,1.77%
"Aug 25, 2020",0.565,0.585,0.590,0.565,836.20K,-4.24%
"Aug 24, 2020",0.590,0.605,0.615,0.590,3.73M,-0.84%
"Aug 21, 2020",0.595,0.550,0.600,0.550,4.56M,9.17%
"Aug 19, 2020",0.545,0.540,0.545,0.540,573.20K,0.00%
"Aug 18, 2020",0.545,0.540,0.550,0.540,429.50K,0.93%
"Aug 17, 2020",0.540,0.545,0.545,0.540,789.70K,-0.92%
"Aug 14, 2020",0.545,0.545,0.545,0.540,518.70K,0.00%
"Aug 13, 2020",0.545,0.550,0.560,0.540,1.80M,-0.91%
"Aug 12, 2020",0.550,0.555,0.555,0.540,1.83M,-0.90%
"Aug 11, 2020",0.555,0.555,0.565,0.555,1.54M,0.00%
"Aug 10, 2020",0.555,0.555,0.560,0.550,1.08M,-0.89%
"Aug 07, 2020",0.560,0.570,0.570,0.560,961.50K,-0.88%
"Aug 06, 2020",0.565,0.560,0.575,0.555,2.23M,0.89%
"Aug 05, 2020",0.560,0.565,0.570,0.555,2.08M,-1.75%
"Aug 04, 2020",0.570,0.575,0.575,0.565,1.48M,-0.87%
"Aug 03, 2020",0.575,0.570,0.585,0.570,1.36M,1.77%
