Date,Price,Open,High,Low,Vol.,Change %
"Nov 13, 2020",2.43,2.41,2.47,2.39,26.66M,-0.41%
"Nov 12, 2020",2.44,2.33,2.45,2.30,39.40M,4.72%
"Nov 11, 2020",2.33,2.37,2.40,2.26,24.99M,-2.10%
"Nov 10, 2020",2.38,2.38,2.50,2.30,120.13M,12.26%
"Nov 09, 2020",2.12,2.07,2.12,2.06,8.42M,0.47%
"Nov 06, 2020",2.11,2.07,2.11,2.05,8.45M,2.43%
"Nov 05, 2020",2.06,2.05,2.07,2.05,4.13M,0.49%
"Nov 04, 2020",2.05,2.01,2.05,2.00,2.99M,2.50%
"Nov 03, 2020",2.00,1.99,2.02,1.99,2.39M,0.00%
"Nov 02, 2020",2.00,2.00,2.02,1.98,7.10M,0.00%
"Oct 30, 2020",2.00,2.02,2.02,2.00,9.42M,-0.99%
"Oct 28, 2020",2.02,2.03,2.03,2.01,5.46M,-0.49%
"Oct 27, 2020",2.03,2.01,2.04,2.00,8.17M,1.00%
"Oct 26, 2020",2.01,2.06,2.08,2.01,5.11M,-1.95%
"Oct 23, 2020",2.05,2.02,2.14,2.02,10.98M,1.99%
"Oct 22, 2020",2.01,2.02,2.03,2.01,6.82M,0.50%
"Oct 21, 2020",2.00,2.02,2.03,2.00,7.79M,-0.99%
"Oct 20, 2020",2.02,2.02,2.03,2.00,9.16M,0.00%
"Oct 19, 2020",2.02,2.02,2.04,2.01,7.16M,0.50%
"Oct 16, 2020",2.01,2.03,2.04,2.00,8.02M,-0.50%
"Oct 15, 2020",2.02,2.03,2.04,2.02,3.84M,-0.49%
