Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.645,0.680,0.685,0.635,8.93M,-2.27%
"Aug 28, 2020",0.660,0.630,0.675,0.600,17.99M,5.60%
"Aug 27, 2020",0.625,0.555,0.730,0.555,63.46M,17.92%
"Aug 26, 2020",0.530,0.460,0.540,0.450,27.31M,17.78%
"Aug 25, 2020",0.450,0.380,0.465,0.370,24.14M,16.88%
"Aug 24, 2020",0.385,0.350,0.395,0.350,13.52M,20.31%
"Aug 21, 2020",0.320,0.295,0.375,0.295,27.14M,12.28%
"Aug 19, 2020",0.285,0.250,0.325,0.250,22.48M,21.28%
"Aug 18, 2020",0.235,0.235,0.240,0.235,142.00K,0.00%
"Aug 17, 2020",0.235,0.220,0.240,0.220,420.00K,0.00%
"Aug 14, 2020",0.235,0.245,0.245,0.235,408.40K,-2.08%
"Aug 13, 2020",0.240,0.235,0.240,0.235,887.10K,4.35%
"Aug 12, 2020",0.230,0.230,0.230,0.220,330.00K,0.00%
"Aug 11, 2020",0.230,0.230,0.250,0.230,1.49M,0.00%
"Aug 10, 2020",0.230,0.205,0.230,0.200,1.51M,15.00%
"Aug 07, 2020",0.200,0.205,0.205,0.195,503.00K,-2.44%
"Aug 06, 2020",0.205,0.205,0.205,0.195,225.10K,2.50%
"Aug 05, 2020",0.200,0.190,0.200,0.190,410.70K,0.00%
"Aug 04, 2020",0.200,0.200,0.200,0.190,236.00K,0.00%
"Aug 03, 2020",0.200,0.200,0.200,0.190,314.30K,0.00%
