Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.225,0.235,0.235,0.225,28.50K,-4.26%
"Aug 28, 2020",0.235,0.235,0.240,0.235,11.70K,4.44%
"Aug 27, 2020",0.225,0.220,0.230,0.220,137.30K,2.27%
"Aug 26, 2020",0.220,0.220,0.230,0.205,288.10K,0.00%
"Aug 25, 2020",0.220,0.255,0.255,0.220,310.10K,-15.38%
"Aug 24, 2020",0.260,0.265,0.275,0.240,1.12M,4.00%
"Aug 21, 2020",0.250,0.220,0.260,0.220,1.58M,21.95%
"Aug 19, 2020",0.205,0.180,0.205,0.180,285.60K,13.89%
"Aug 18, 2020",0.180,0.195,0.200,0.180,151.00K,-2.70%
"Aug 17, 2020",0.185,0.190,0.190,0.185,341.70K,-13.95%
"Aug 14, 2020",0.215,0.245,0.275,0.185,1.67M,-2.27%
"Aug 13, 2020",0.220,0.180,0.220,0.180,205.50K,29.41%
"Aug 12, 2020",0.170,0.220,0.220,0.160,249.80K,-20.93%
"Aug 11, 2020",0.215,0.270,0.280,0.185,419.50K,-4.44%
"Aug 10, 2020",0.225,0.155,0.250,0.155,750.30K,45.16%
"Aug 07, 2020",0.155,0.155,0.165,0.155,93.00K,0.00%
"Aug 06, 2020",0.155,0.160,0.160,0.155,47.80K,-3.12%
"Aug 05, 2020",0.160,0.145,0.160,0.145,83.00K,3.23%
"Aug 03, 2020",0.155,0.145,0.190,0.145,234.80K,6.90%
