Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.335,0.335,0.335,0.335,-,1.52%
"Aug 28, 2020",0.330,0.330,0.330,0.330,10.00K,0.00%
"Aug 27, 2020",0.330,0.330,0.330,0.330,20.00K,3.13%
"Aug 26, 2020",0.320,0.320,0.320,0.320,30.00K,4.92%
"Aug 25, 2020",0.305,0.325,0.325,0.305,186.70K,-7.58%
"Aug 24, 2020",0.330,0.330,0.330,0.330,10.00K,3.13%
"Aug 21, 2020",0.320,0.325,0.330,0.320,28.00K,-1.54%
"Aug 19, 2020",0.325,0.315,0.325,0.315,20.00K,0.00%
"Aug 18, 2020",0.325,0.325,0.325,0.325,20.00K,0.00%
"Aug 17, 2020",0.325,0.325,0.325,0.315,100.00K,0.00%
"Aug 14, 2020",0.325,0.325,0.325,0.325,20.00K,4.84%
"Aug 10, 2020",0.310,0.310,0.310,0.310,3.00K,0.00%
"Aug 07, 2020",0.310,0.310,0.310,0.310,1.00K,0.00%
"Aug 06, 2020",0.310,0.310,0.310,0.310,6.00K,0.00%
"Aug 04, 2020",0.310,0.310,0.310,0.310,5.00K,0.00%
"Aug 03, 2020",0.310,0.315,0.315,0.310,12.00K,1.64%
