Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",1.640,1.700,1.710,1.530,24.16M,-4.09%
"Aug 28, 2020",1.710,1.740,1.780,1.680,15.45M,-1.16%
"Aug 27, 2020",1.730,1.870,1.870,1.720,22.62M,-5.46%
"Aug 26, 2020",1.830,1.620,1.830,1.590,32.90M,10.91%
"Aug 25, 2020",1.650,1.850,1.920,1.610,48.44M,-15.38%
"Aug 24, 2020",1.950,2.120,2.150,1.860,35.49M,-6.70%
"Aug 21, 2020",2.090,2.080,2.130,2.000,46.42M,3.47%
"Aug 19, 2020",2.020,1.800,2.170,1.800,139.08M,18.13%
"Aug 18, 2020",1.710,1.340,1.710,1.260,81.74M,29.55%
"Aug 17, 2020",1.320,1.400,1.550,1.300,61.49M,-10.20%
"Aug 14, 2020",1.470,1.670,1.700,1.400,46.02M,-8.70%
"Aug 13, 2020",1.610,1.650,1.780,1.550,37.13M,3.87%
"Aug 12, 2020",1.550,1.920,1.950,1.450,75.05M,-24.76%
"Aug 11, 2020",2.060,2.450,2.490,2.050,36.47M,-5.07%
"Aug 10, 2020",2.170,2.510,2.570,1.910,73.24M,-13.89%
"Aug 07, 2020",2.520,3.300,3.330,2.300,69.13M,-20.75%
"Aug 06, 2020",3.180,2.750,3.180,2.580,92.98M,29.80%
"Aug 05, 2020",2.450,2.360,2.450,2.250,23.13M,0.00%
"Aug 04, 2020",2.450,2.180,2.450,2.000,88.17M,29.63%
"Aug 03, 2020",1.890,1.530,1.890,1.520,67.09M,29.45%
