Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",16.48,17.06,17.34,16.30,2.06M,-0.24%
"Aug 28, 2020",16.52,16.58,16.86,16.50,7.89M,-2.02%
"Aug 27, 2020",16.86,16.50,16.86,16.26,4.45M,0.60%
"Aug 26, 2020",16.76,16.08,16.84,15.70,8.16M,1.58%
"Aug 25, 2020",16.50,17.46,17.46,16.20,5.43M,-5.71%
"Aug 24, 2020",17.50,17.70,17.76,17.22,6.17M,-1.35%
"Aug 21, 2020",17.74,17.36,17.74,16.80,6.68M,3.14%
"Aug 19, 2020",17.20,17.52,18.36,16.58,12.43M,-2.05%
"Aug 18, 2020",17.56,15.40,17.80,14.88,11.22M,12.85%
"Aug 17, 2020",15.56,16.00,16.10,14.02,6.41M,-2.87%
"Aug 14, 2020",16.02,16.56,16.66,15.66,6.99M,-3.26%
"Aug 13, 2020",16.56,16.30,17.00,16.20,6.98M,2.73%
"Aug 12, 2020",16.12,18.00,18.10,16.00,12.76M,-11.91%
"Aug 11, 2020",18.30,18.90,19.10,18.30,9.07M,-0.33%
"Aug 10, 2020",18.36,19.00,19.00,17.50,9.89M,-4.08%
"Aug 07, 2020",19.14,19.80,19.80,19.02,11.12M,-3.33%
"Aug 06, 2020",19.80,20.00,20.04,19.60,6.59M,0.00%
"Aug 05, 2020",19.80,20.00,20.38,19.50,12.19M,-0.70%
"Aug 04, 2020",19.94,20.52,20.68,17.54,38.64M,-2.73%
"Aug 03, 2020",20.50,20.54,21.16,20.44,16.41M,1.08%
