Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",3.02,3.00,3.03,3.00,78.60K,0.33%
"Aug 28, 2020",3.01,3.01,3.03,2.99,364.20K,0.00%
"Aug 27, 2020",3.01,3.02,3.03,3.00,278.00K,-0.66%
"Aug 26, 2020",3.03,3.06,3.10,2.99,651.80K,0.00%
"Aug 25, 2020",3.03,3.05,3.10,3.01,341.10K,-0.33%
"Aug 24, 2020",3.04,3.05,3.10,3.00,429.00K,0.00%
"Aug 21, 2020",3.04,3.14,3.14,3.04,360.50K,-1.94%
"Aug 19, 2020",3.10,3.11,3.24,3.08,1.46M,2.99%
"Aug 18, 2020",3.01,3.00,3.05,2.97,543.30K,1.01%
"Aug 17, 2020",2.98,2.99,3.05,2.98,306.90K,-0.33%
"Aug 14, 2020",2.99,3.05,3.05,2.98,693.20K,-2.61%
"Aug 13, 2020",3.07,3.12,3.14,3.04,531.20K,0.00%
"Aug 12, 2020",3.07,3.19,3.19,2.99,1.09M,-4.66%
"Aug 11, 2020",3.22,3.07,3.24,3.05,1.60M,5.92%
"Aug 10, 2020",3.04,3.10,3.13,3.00,554.00K,-1.62%
"Aug 07, 2020",3.09,3.23,3.26,3.05,735.40K,-4.33%
"Aug 06, 2020",3.23,3.04,3.28,3.04,1.51M,9.49%
"Aug 05, 2020",2.95,2.93,3.05,2.88,591.30K,1.03%
"Aug 04, 2020",2.92,2.96,2.96,2.88,682.50K,-1.35%
"Aug 03, 2020",2.96,3.00,3.06,2.94,746.20K,-1.66%
