Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.815,0.830,0.870,0.810,21.02M,3.82%
"Nov 25, 2020",0.785,0.760,0.785,0.755,5.71M,3.97%
"Nov 24, 2020",0.755,0.780,0.780,0.745,6.90M,-1.31%
"Nov 23, 2020",0.765,0.790,0.825,0.765,29.64M,-2.55%
"Nov 20, 2020",0.785,0.760,0.790,0.760,12.57M,3.97%
"Nov 19, 2020",0.755,0.735,0.765,0.735,4.66M,2.72%
"Nov 18, 2020",0.735,0.745,0.745,0.735,2.84M,-1.34%
"Nov 17, 2020",0.745,0.755,0.755,0.725,4.46M,-1.32%
"Nov 16, 2020",0.755,0.775,0.785,0.740,8.72M,-0.66%
"Nov 13, 2020",0.760,0.740,0.770,0.735,10.54M,2.70%
"Nov 12, 2020",0.740,0.720,0.740,0.720,4.65M,2.78%
"Nov 11, 2020",0.720,0.720,0.725,0.720,2.78M,0.00%
"Nov 10, 2020",0.720,0.710,0.735,0.705,4.30M,0.70%
"Nov 09, 2020",0.715,0.715,0.725,0.710,4.82M,2.14%
"Nov 06, 2020",0.700,0.730,0.740,0.700,3.46M,-4.11%
"Nov 05, 2020",0.730,0.705,0.730,0.700,3.64M,4.29%
"Nov 04, 2020",0.700,0.710,0.715,0.700,3.62M,-1.41%
"Nov 03, 2020",0.710,0.700,0.715,0.695,2.30M,2.90%
"Nov 02, 2020",0.690,0.690,0.715,0.685,4.03M,0.73%
"Oct 30, 2020",0.685,0.700,0.705,0.680,3.43M,-2.14%
"Oct 28, 2020",0.700,0.715,0.715,0.695,2.63M,0.72%
"Oct 27, 2020",0.695,0.700,0.715,0.695,3.18M,-1.42%
"Oct 26, 2020",0.705,0.715,0.725,0.685,4.82M,0.00%
