Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",1.400,1.340,1.410,1.330,3.91M,5.26%
"Nov 25, 2020",1.330,1.330,1.350,1.330,694.90K,0.76%
"Nov 24, 2020",1.320,1.330,1.350,1.310,800.30K,-0.75%
"Nov 23, 2020",1.330,1.350,1.350,1.320,980.50K,0.00%
"Nov 20, 2020",1.330,1.310,1.350,1.310,586.20K,1.53%
"Nov 19, 2020",1.310,1.310,1.320,1.300,469.60K,0.77%
"Nov 18, 2020",1.300,1.320,1.320,1.300,458.80K,-1.52%
"Nov 17, 2020",1.320,1.360,1.360,1.300,1.43M,-2.22%
"Nov 16, 2020",1.350,1.320,1.360,1.320,966.10K,2.27%
"Nov 13, 2020",1.320,1.300,1.330,1.290,473.30K,1.54%
"Nov 12, 2020",1.300,1.310,1.320,1.290,479.00K,-0.76%
"Nov 11, 2020",1.310,1.300,1.330,1.290,427.70K,0.77%
"Nov 10, 2020",1.300,1.310,1.320,1.270,1.08M,-3.70%
"Nov 09, 2020",1.350,1.330,1.360,1.320,699.80K,2.27%
"Nov 06, 2020",1.320,1.320,1.340,1.300,440.10K,0.00%
"Nov 05, 2020",1.320,1.280,1.320,1.280,612.70K,3.13%
"Nov 04, 2020",1.280,1.300,1.310,1.270,417.10K,0.00%
"Nov 03, 2020",1.280,1.260,1.290,1.260,435.80K,2.40%
"Nov 02, 2020",1.250,1.260,1.260,1.230,295.10K,-0.79%
"Oct 30, 2020",1.260,1.280,1.300,1.230,1.27M,-0.79%
"Oct 28, 2020",1.270,1.310,1.320,1.270,1.46M,0.79%
"Oct 27, 2020",1.260,1.230,1.270,1.230,413.60K,1.61%
"Oct 26, 2020",1.240,1.260,1.280,1.200,802.50K,-0.80%
