Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.165,0.160,0.165,0.160,1.18M,3.13%
"Aug 28, 2020",0.160,0.165,0.170,0.160,1.89M,-3.03%
"Aug 27, 2020",0.165,0.165,0.170,0.165,2.45M,0.00%
"Aug 26, 2020",0.165,0.165,0.170,0.160,4.41M,-2.94%
"Aug 25, 2020",0.170,0.170,0.175,0.165,9.38M,0.00%
"Aug 24, 2020",0.170,0.165,0.170,0.160,2.66M,3.03%
"Aug 21, 2020",0.165,0.165,0.170,0.160,1.15M,0.00%
"Aug 19, 2020",0.165,0.170,0.170,0.165,2.90M,0.00%
"Aug 18, 2020",0.165,0.170,0.170,0.165,4.07M,-2.94%
"Aug 17, 2020",0.170,0.165,0.170,0.165,922.70K,3.03%
"Aug 14, 2020",0.165,0.175,0.175,0.165,4.60M,-2.94%
"Aug 13, 2020",0.170,0.170,0.180,0.170,7.84M,0.00%
"Aug 12, 2020",0.170,0.180,0.185,0.165,9.27M,-5.56%
"Aug 11, 2020",0.180,0.190,0.195,0.175,26.55M,-2.70%
"Aug 10, 2020",0.185,0.170,0.185,0.165,28.21M,12.12%
"Aug 07, 2020",0.165,0.165,0.170,0.160,8.49M,3.13%
"Aug 06, 2020",0.160,0.165,0.170,0.160,24.90M,0.00%
"Aug 05, 2020",0.160,0.165,0.170,0.155,6.78M,-3.03%
"Aug 04, 2020",0.165,0.155,0.165,0.155,18.29M,6.45%
"Aug 03, 2020",0.155,0.155,0.165,0.150,13.49M,0.00%
