Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.495,0.490,0.495,0.490,56.90K,1.02%
"Aug 28, 2020",0.490,0.495,0.500,0.490,1.97M,0.00%
"Aug 27, 2020",0.490,0.490,0.500,0.480,1.85M,3.16%
"Aug 26, 2020",0.475,0.480,0.495,0.475,2.40M,-1.04%
"Aug 25, 2020",0.480,0.495,0.505,0.480,3.03M,1.05%
"Aug 24, 2020",0.475,0.480,0.480,0.475,790.30K,0.00%
"Aug 21, 2020",0.475,0.485,0.485,0.475,1.94M,-1.04%
"Aug 19, 2020",0.480,0.480,0.490,0.475,1.51M,-1.03%
"Aug 18, 2020",0.485,0.480,0.485,0.475,676.20K,0.00%
"Aug 17, 2020",0.485,0.485,0.485,0.480,225.50K,1.04%
"Aug 14, 2020",0.480,0.490,0.490,0.480,1.18M,-3.03%
"Aug 13, 2020",0.495,0.490,0.505,0.485,1.32M,1.02%
"Aug 12, 2020",0.490,0.495,0.495,0.480,1.05M,-2.00%
"Aug 11, 2020",0.500,0.515,0.515,0.500,1.13M,-1.96%
"Aug 10, 2020",0.510,0.510,0.510,0.500,2.00M,0.00%
"Aug 07, 2020",0.510,0.495,0.540,0.490,2.02M,2.00%
"Aug 06, 2020",0.500,0.510,0.510,0.495,815.20K,0.00%
"Aug 05, 2020",0.500,0.495,0.500,0.485,2.86M,1.01%
"Aug 04, 2020",0.495,0.490,0.500,0.480,1.49M,1.02%
"Aug 03, 2020",0.490,0.495,0.500,0.485,909.80K,-1.01%
