Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.760,0.750,0.765,0.740,9.50M,2.70%
"Nov 25, 2020",0.740,0.755,0.765,0.740,8.03M,0.00%
"Nov 24, 2020",0.740,0.765,0.775,0.740,6.99M,-3.90%
"Nov 23, 2020",0.770,0.770,0.795,0.755,19.57M,0.00%
"Nov 20, 2020",0.770,0.770,0.780,0.760,8.68M,1.32%
"Nov 19, 2020",0.760,0.795,0.800,0.760,22.57M,-3.80%
"Nov 18, 2020",0.790,0.745,0.790,0.735,22.84M,7.48%
"Nov 17, 2020",0.735,0.750,0.755,0.705,7.52M,-0.68%
"Nov 16, 2020",0.740,0.755,0.755,0.725,8.38M,-1.33%
"Nov 13, 2020",0.750,0.775,0.775,0.745,10.99M,-3.23%
"Nov 12, 2020",0.775,0.775,0.795,0.755,15.33M,0.65%
"Nov 11, 2020",0.770,0.805,0.805,0.760,14.48M,-4.94%
"Nov 10, 2020",0.810,0.855,0.870,0.805,43.47M,1.25%
"Nov 09, 2020",0.800,0.815,0.820,0.795,28.43M,0.00%
"Nov 06, 2020",0.800,0.790,0.825,0.760,60.04M,2.56%
"Nov 05, 2020",0.780,0.750,0.780,0.740,31.33M,6.12%
"Nov 04, 2020",0.735,0.735,0.765,0.725,33.46M,1.38%
"Nov 03, 2020",0.725,0.730,0.740,0.715,12.53M,1.40%
"Nov 02, 2020",0.715,0.715,0.745,0.705,13.26M,-5.30%
"Oct 30, 2020",0.755,0.860,0.870,0.710,92.88M,-3.21%
"Oct 28, 2020",0.780,0.725,0.805,0.700,68.63M,9.09%
"Oct 27, 2020",0.715,0.700,0.725,0.690,10.58M,2.14%
"Oct 26, 2020",0.700,0.780,0.780,0.690,19.16M,-7.89%
