Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",1.820,1.830,1.830,1.820,57.30K,-1.62%
"Aug 28, 2020",1.850,1.800,1.850,1.790,948.40K,2.78%
"Aug 27, 2020",1.800,1.800,1.810,1.790,438.70K,0.00%
"Aug 26, 2020",1.800,1.790,1.800,1.780,217.40K,0.56%
"Aug 25, 2020",1.790,1.790,1.800,1.780,153.60K,-0.56%
"Aug 24, 2020",1.800,1.800,1.820,1.790,77.70K,-1.10%
"Aug 21, 2020",1.820,1.810,1.820,1.780,316.80K,0.55%
"Aug 19, 2020",1.810,1.770,1.820,1.770,320.00K,1.69%
"Aug 18, 2020",1.780,1.780,1.790,1.780,5.13M,0.00%
"Aug 17, 2020",1.780,1.790,1.790,1.760,2.26M,0.00%
"Aug 14, 2020",1.780,1.820,1.820,1.770,1.98M,-2.20%
"Aug 13, 2020",1.820,1.790,1.820,1.780,278.00K,1.68%
"Aug 12, 2020",1.790,1.780,1.790,1.760,420.70K,0.56%
"Aug 11, 2020",1.780,1.790,1.790,1.760,557.50K,-0.56%
"Aug 10, 2020",1.790,1.800,1.800,1.780,347.90K,-1.10%
"Aug 07, 2020",1.810,1.800,1.810,1.790,537.50K,0.56%
"Aug 06, 2020",1.800,1.810,1.810,1.800,421.70K,-0.55%
"Aug 05, 2020",1.810,1.790,1.810,1.790,1.66M,1.12%
"Aug 04, 2020",1.790,1.800,1.800,1.790,524.30K,-0.56%
"Aug 03, 2020",1.800,1.840,1.840,1.790,2.32M,-2.17%
