Date,Price,Open,High,Low,Vol.,Change %
"Aug 28, 2020",2.110,2.100,2.110,2.100,251.30K,-0.47%
"Aug 27, 2020",2.120,2.110,2.120,2.050,250.50K,-0.47%
"Aug 26, 2020",2.130,2.120,2.130,2.100,339.50K,-0.93%
"Aug 25, 2020",2.150,2.160,2.170,2.060,118.50K,-0.92%
"Aug 24, 2020",2.170,2.170,2.170,2.160,416.00K,0.00%
"Aug 21, 2020",2.170,2.150,2.170,2.140,360.40K,0.00%
"Aug 19, 2020",2.170,2.170,2.170,2.170,80.70K,-0.46%
"Aug 18, 2020",2.180,2.170,2.180,2.100,356.50K,0.00%
"Aug 17, 2020",2.180,2.150,2.180,2.150,134.90K,0.93%
"Aug 14, 2020",2.160,2.160,2.160,2.150,223.10K,-0.46%
"Aug 13, 2020",2.170,2.130,2.170,2.130,135.50K,0.46%
"Aug 12, 2020",2.160,2.030,2.160,2.030,27.60K,0.00%
"Aug 11, 2020",2.160,2.130,2.160,2.120,958.00K,-0.92%
"Aug 10, 2020",2.180,2.070,2.180,2.010,407.90K,7.39%
"Aug 07, 2020",2.030,2.110,2.110,2.030,135.80K,-1.93%
"Aug 06, 2020",2.070,2.130,2.130,2.050,871.90K,-1.90%
"Aug 05, 2020",2.110,2.180,2.240,2.070,266.20K,-4.09%
"Aug 04, 2020",2.200,2.130,2.200,2.130,239.50K,2.33%
"Aug 03, 2020",2.150,2.160,2.160,2.140,242.50K,-0.46%
