Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.090,0.095,0.095,0.090,531.70K,-5.26%
"Aug 28, 2020",0.095,0.095,0.100,0.090,1.31M,0.00%
"Aug 27, 2020",0.095,0.100,0.100,0.095,2.23M,-5.00%
"Aug 26, 2020",0.100,0.090,0.105,0.085,8.42M,5.26%
"Aug 25, 2020",0.095,0.100,0.100,0.090,2.02M,-5.00%
"Aug 24, 2020",0.100,0.100,0.105,0.095,4.18M,0.00%
"Aug 21, 2020",0.100,0.100,0.105,0.090,6.82M,0.00%
"Aug 19, 2020",0.100,0.095,0.100,0.090,2.98M,5.26%
"Aug 18, 2020",0.095,0.090,0.095,0.085,3.30M,11.76%
"Aug 17, 2020",0.085,0.085,0.090,0.085,1.78M,0.00%
"Aug 14, 2020",0.085,0.090,0.090,0.085,873.60K,0.00%
"Aug 13, 2020",0.085,0.085,0.090,0.085,1.77M,0.00%
"Aug 12, 2020",0.085,0.095,0.095,0.080,5.89M,-5.56%
"Aug 11, 2020",0.090,0.095,0.095,0.090,2.89M,-5.26%
"Aug 10, 2020",0.095,0.100,0.100,0.090,2.99M,0.00%
"Aug 07, 2020",0.095,0.100,0.110,0.095,10.73M,0.00%
"Aug 06, 2020",0.095,0.085,0.095,0.085,7.94M,11.76%
"Aug 05, 2020",0.085,0.085,0.090,0.080,3.84M,0.00%
"Aug 04, 2020",0.085,0.080,0.090,0.080,2.35M,6.25%
"Aug 03, 2020",0.080,0.090,0.090,0.080,2.54M,-5.88%
