Date,Price,Open,High,Low,Vol.,Change %
"Nov 25, 2020",0.510,0.510,0.510,0.510,2.20K,0.00%
"Nov 24, 2020",0.510,0.510,0.510,0.510,2.00K,2.00%
"Nov 20, 2020",0.500,0.490,0.515,0.490,19.00K,-1.96%
"Nov 19, 2020",0.510,0.485,0.515,0.485,3.60K,0.00%
"Nov 18, 2020",0.510,0.510,0.510,0.510,23.00K,0.00%
"Nov 17, 2020",0.510,0.510,0.510,0.510,2.00K,2.00%
"Nov 13, 2020",0.500,0.480,0.500,0.475,61.90K,0.00%
"Nov 12, 2020",0.500,0.490,0.500,0.460,31.30K,-1.96%
"Nov 11, 2020",0.510,0.500,0.510,0.490,40.20K,2.00%
"Nov 10, 2020",0.500,0.485,0.500,0.480,7.70K,0.00%
"Nov 09, 2020",0.500,0.500,0.500,0.500,8.10K,-1.96%
"Nov 06, 2020",0.510,0.480,0.510,0.450,31.20K,2.00%
"Nov 05, 2020",0.500,0.480,0.500,0.480,3.70K,0.00%
"Nov 04, 2020",0.500,0.505,0.505,0.500,48.50K,-2.91%
"Nov 03, 2020",0.515,0.505,0.515,0.485,111.80K,0.98%
"Nov 02, 2020",0.510,0.515,0.520,0.480,194.10K,-2.86%
"Oct 30, 2020",0.525,0.480,0.525,0.480,82.80K,6.06%
"Oct 28, 2020",0.495,0.460,0.500,0.460,104.50K,7.61%
"Oct 27, 2020",0.460,0.460,0.460,0.460,2.00K,2.22%
"Oct 26, 2020",0.450,0.450,0.450,0.450,5.00K,-1.10%
