Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.315,0.320,0.345,0.310,1.26M,-3.08%
"Aug 28, 2020",0.325,0.360,0.360,0.325,4.73M,-8.45%
"Aug 27, 2020",0.355,0.360,0.370,0.300,12.71M,4.41%
"Aug 26, 2020",0.340,0.280,0.360,0.250,14.44M,23.64%
"Aug 25, 2020",0.275,0.255,0.300,0.240,9.56M,7.84%
"Aug 24, 2020",0.255,0.205,0.265,0.185,16.34M,27.50%
"Aug 21, 2020",0.200,0.215,0.230,0.190,7.20M,-14.89%
"Aug 19, 2020",0.235,0.125,0.240,0.125,11.81M,95.83%
"Aug 18, 2020",0.120,0.120,0.125,0.120,101.60K,4.35%
"Aug 17, 2020",0.115,0.110,0.115,0.110,70.00K,9.52%
"Aug 14, 2020",0.105,0.115,0.115,0.105,178.70K,-8.70%
"Aug 13, 2020",0.115,0.115,0.115,0.115,40.20K,0.00%
"Aug 12, 2020",0.115,0.115,0.130,0.100,1.27M,0.00%
"Aug 11, 2020",0.115,0.140,0.145,0.110,1.14M,-20.69%
"Aug 10, 2020",0.145,0.150,0.150,0.135,445.10K,0.00%
"Aug 07, 2020",0.145,0.130,0.170,0.130,2.66M,16.00%
"Aug 06, 2020",0.125,0.145,0.150,0.125,1.95M,-7.41%
"Aug 05, 2020",0.135,0.100,0.135,0.100,2.15M,42.11%
"Aug 04, 2020",0.095,0.090,0.100,0.090,241.90K,0.00%
"Aug 03, 2020",0.095,0.105,0.105,0.085,607.60K,-5.00%
