Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",1.140,1.160,1.160,1.110,24.80K,0.88%
"Nov 25, 2020",1.130,1.150,1.150,1.130,46.90K,-1.74%
"Nov 24, 2020",1.150,1.130,1.160,1.080,146.20K,0.88%
"Nov 23, 2020",1.140,1.190,1.190,1.140,109.10K,-4.20%
"Nov 20, 2020",1.190,1.190,1.190,1.150,720.80K,0.00%
"Nov 19, 2020",1.190,1.170,1.200,1.170,274.40K,1.71%
"Nov 18, 2020",1.170,1.170,1.190,1.170,30.30K,-2.50%
"Nov 17, 2020",1.200,1.130,1.200,1.130,285.00K,1.69%
"Nov 16, 2020",1.180,1.190,1.220,1.120,783.00K,0.00%
"Nov 13, 2020",1.180,1.160,1.180,1.140,266.50K,1.72%
"Nov 12, 2020",1.160,1.150,1.170,1.130,308.80K,1.75%
"Nov 11, 2020",1.140,1.140,1.160,1.140,315.10K,0.00%
"Nov 10, 2020",1.140,1.150,1.160,1.110,205.70K,-0.87%
"Nov 09, 2020",1.150,1.080,1.150,1.080,468.60K,5.50%
"Nov 06, 2020",1.090,1.090,1.090,1.080,271.60K,0.00%
"Nov 05, 2020",1.090,1.070,1.110,1.070,631.00K,2.83%
"Nov 04, 2020",1.060,1.050,1.080,1.030,372.40K,2.91%
"Nov 03, 2020",1.030,0.995,1.030,0.995,167.30K,3.52%
"Oct 30, 2020",0.995,0.995,1.010,0.975,232.50K,-0.50%
"Oct 28, 2020",1.000,1.010,1.010,1.000,185.70K,0.50%
"Oct 27, 2020",0.995,1.010,1.010,0.990,116.40K,-1.49%
"Oct 26, 2020",1.010,1.000,1.010,0.980,27.00K,1.00%
