Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.515,0.510,0.515,0.505,3.33M,0.98%
"Nov 25, 2020",0.510,0.505,0.515,0.505,1.30M,0.99%
"Nov 24, 2020",0.505,0.515,0.520,0.500,3.15M,-1.94%
"Nov 23, 2020",0.515,0.515,0.520,0.510,1.05M,0.98%
"Nov 20, 2020",0.510,0.510,0.520,0.510,3.90M,0.00%
"Nov 19, 2020",0.510,0.510,0.525,0.505,2.92M,0.00%
"Nov 18, 2020",0.510,0.520,0.520,0.510,2.63M,-3.77%
"Nov 17, 2020",0.530,0.525,0.535,0.515,7.82M,1.92%
"Nov 16, 2020",0.520,0.515,0.530,0.510,5.60M,0.97%
"Nov 13, 2020",0.515,0.515,0.515,0.510,1.43M,0.00%
"Nov 12, 2020",0.515,0.515,0.525,0.505,6.10M,0.98%
"Nov 11, 2020",0.510,0.505,0.510,0.500,2.23M,2.00%
"Nov 10, 2020",0.500,0.505,0.505,0.500,4.39M,0.00%
"Nov 09, 2020",0.500,0.510,0.510,0.495,3.00M,0.00%
"Nov 06, 2020",0.500,0.515,0.515,0.495,7.17M,-2.91%
"Nov 05, 2020",0.515,0.485,0.520,0.485,7.83M,7.29%
"Nov 04, 2020",0.480,0.465,0.485,0.465,1.90M,3.23%
"Nov 03, 2020",0.465,0.465,0.475,0.460,2.38M,1.09%
"Nov 02, 2020",0.460,0.475,0.475,0.455,1.52M,-3.16%
"Oct 30, 2020",0.475,0.475,0.480,0.465,3.39M,0.00%
"Oct 28, 2020",0.475,0.480,0.485,0.475,2.11M,-2.06%
"Oct 27, 2020",0.485,0.480,0.490,0.480,2.34M,0.00%
"Oct 26, 2020",0.485,0.500,0.500,0.475,6.43M,-3.00%
