Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.135,0.140,0.140,0.135,78.00K,-3.57%
"Aug 28, 2020",0.140,0.145,0.145,0.140,413.60K,-3.45%
"Aug 27, 2020",0.145,0.140,0.155,0.140,6.01M,7.41%
"Aug 26, 2020",0.135,0.135,0.140,0.135,164.00K,0.00%
"Aug 25, 2020",0.135,0.135,0.140,0.135,435.00K,0.00%
"Aug 24, 2020",0.135,0.135,0.140,0.135,799.00K,0.00%
"Aug 21, 2020",0.135,0.130,0.135,0.130,148.00K,3.85%
"Aug 19, 2020",0.130,0.135,0.135,0.130,462.00K,-3.70%
"Aug 18, 2020",0.135,0.130,0.135,0.130,1.00M,3.85%
"Aug 17, 2020",0.130,0.135,0.135,0.130,883.70K,-3.70%
"Aug 14, 2020",0.135,0.140,0.140,0.135,1.03M,-3.57%
"Aug 13, 2020",0.140,0.135,0.150,0.135,8.05M,0.00%
"Aug 12, 2020",0.140,0.140,0.140,0.135,958.40K,3.70%
"Aug 11, 2020",0.135,0.140,0.140,0.135,1.25M,-3.57%
"Aug 10, 2020",0.140,0.140,0.145,0.130,4.35M,3.70%
"Aug 07, 2020",0.135,0.130,0.140,0.130,276.30K,3.85%
"Aug 06, 2020",0.130,0.130,0.135,0.130,386.00K,0.00%
"Aug 05, 2020",0.130,0.130,0.130,0.130,119.00K,0.00%
"Aug 04, 2020",0.130,0.130,0.135,0.130,182.30K,0.00%
"Aug 03, 2020",0.130,0.130,0.130,0.130,134.70K,-3.70%
