Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.120,0.115,0.120,0.115,16.00K,0.00%
"Aug 28, 2020",0.120,0.130,0.130,0.115,335.90K,-7.69%
"Aug 27, 2020",0.130,0.145,0.155,0.130,3.64M,-7.14%
"Aug 26, 2020",0.140,0.110,0.140,0.105,3.83M,27.27%
"Aug 25, 2020",0.110,0.110,0.120,0.105,1.75M,0.00%
"Aug 24, 2020",0.110,0.100,0.110,0.100,1.08M,15.79%
"Aug 21, 2020",0.095,0.095,0.100,0.090,500.20K,5.56%
"Aug 19, 2020",0.090,0.090,0.090,0.090,126.40K,5.88%
"Aug 17, 2020",0.085,0.085,0.085,0.085,20.10K,0.00%
"Aug 14, 2020",0.085,0.090,0.095,0.085,330.20K,-10.53%
"Aug 13, 2020",0.095,0.090,0.095,0.090,368.00K,0.00%
"Aug 12, 2020",0.095,0.095,0.095,0.080,397.50K,0.00%
"Aug 11, 2020",0.095,0.100,0.100,0.090,539.00K,-5.00%
"Aug 10, 2020",0.100,0.090,0.100,0.085,1.33M,25.00%
"Aug 07, 2020",0.080,0.085,0.090,0.080,1.03M,0.00%
"Aug 06, 2020",0.080,0.085,0.085,0.080,192.50K,-5.88%
"Aug 05, 2020",0.085,0.080,0.085,0.080,145.10K,6.25%
"Aug 04, 2020",0.080,0.080,0.080,0.080,50.00K,0.00%
"Aug 03, 2020",0.080,0.075,0.080,0.075,113.60K,6.67%
