Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",1.480,1.470,1.480,1.470,60.10K,1.37%
"Nov 25, 2020",1.460,1.460,1.470,1.440,132.00K,0.69%
"Nov 24, 2020",1.450,1.470,1.490,1.440,403.60K,-1.36%
"Nov 23, 2020",1.470,1.470,1.480,1.460,405.10K,0.00%
"Nov 20, 2020",1.470,1.450,1.480,1.440,564.90K,1.38%
"Nov 19, 2020",1.450,1.520,1.520,1.450,1.14M,-4.61%
"Nov 18, 2020",1.520,1.470,1.530,1.470,1.17M,4.11%
"Nov 17, 2020",1.460,1.440,1.480,1.430,805.70K,2.10%
"Nov 16, 2020",1.430,1.410,1.450,1.370,1.02M,1.42%
"Nov 13, 2020",1.410,1.420,1.450,1.390,452.50K,0.00%
"Nov 12, 2020",1.410,1.440,1.450,1.400,358.10K,-0.70%
"Nov 11, 2020",1.420,1.410,1.450,1.400,527.20K,0.71%
"Nov 10, 2020",1.410,1.470,1.470,1.400,421.30K,-4.08%
"Nov 09, 2020",1.470,1.390,1.470,1.370,716.70K,7.30%
"Nov 06, 2020",1.370,1.420,1.420,1.360,410.10K,-3.52%
"Nov 05, 2020",1.420,1.430,1.450,1.410,539.50K,-2.07%
"Nov 04, 2020",1.450,1.320,1.520,1.300,2.20M,11.54%
"Nov 03, 2020",1.300,1.260,1.360,1.250,931.70K,4.00%
"Nov 02, 2020",1.250,1.260,1.260,1.200,173.60K,0.00%
"Oct 30, 2020",1.250,1.320,1.320,1.200,645.80K,-5.30%
"Oct 28, 2020",1.320,1.180,1.340,1.180,1.72M,12.82%
"Oct 27, 2020",1.170,1.160,1.180,1.160,69.00K,0.86%
"Oct 26, 2020",1.160,1.180,1.190,1.160,134.70K,-1.69%
