Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.130,0.125,0.135,0.125,1.43M,0.00%
"Aug 28, 2020",0.130,0.135,0.135,0.125,2.61M,0.00%
"Aug 27, 2020",0.130,0.140,0.145,0.130,9.17M,0.00%
"Aug 26, 2020",0.130,0.115,0.135,0.110,14.33M,13.04%
"Aug 25, 2020",0.115,0.120,0.125,0.115,3.55M,-4.17%
"Aug 24, 2020",0.120,0.120,0.125,0.115,9.28M,4.35%
"Aug 21, 2020",0.115,0.105,0.115,0.105,10.13M,15.00%
"Aug 19, 2020",0.100,0.100,0.105,0.100,798.20K,0.00%
"Aug 18, 2020",0.100,0.100,0.105,0.100,1.28M,0.00%
"Aug 17, 2020",0.100,0.105,0.105,0.100,956.90K,-4.76%
"Aug 14, 2020",0.105,0.100,0.105,0.095,1.74M,5.00%
"Aug 13, 2020",0.100,0.105,0.105,0.100,2.53M,-4.76%
"Aug 12, 2020",0.105,0.115,0.115,0.095,3.87M,-4.55%
"Aug 11, 2020",0.110,0.110,0.115,0.105,3.03M,4.76%
"Aug 10, 2020",0.105,0.095,0.115,0.095,10.80M,10.53%
"Aug 07, 2020",0.095,0.100,0.100,0.095,443.20K,-5.00%
"Aug 06, 2020",0.100,0.100,0.100,0.095,1.36M,0.00%
"Aug 05, 2020",0.100,0.100,0.100,0.095,2.51M,5.26%
"Aug 04, 2020",0.095,0.100,0.105,0.095,3.17M,-5.00%
"Aug 03, 2020",0.100,0.100,0.105,0.100,1.30M,-4.76%
