Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",7.78,7.79,7.80,7.71,202.90K,-0.26%
"Aug 28, 2020",7.80,7.87,7.90,7.80,827.50K,-0.76%
"Aug 27, 2020",7.86,7.86,7.87,7.84,605.10K,0.00%
"Aug 26, 2020",7.86,7.95,7.95,7.86,783.20K,-0.51%
"Aug 25, 2020",7.90,7.89,7.94,7.84,115.00K,0.00%
"Aug 24, 2020",7.90,7.91,7.91,7.85,441.70K,-0.38%
"Aug 21, 2020",7.93,7.90,8.00,7.90,251.40K,-0.25%
"Aug 19, 2020",7.95,7.92,7.95,7.91,364.00K,0.25%
"Aug 18, 2020",7.93,7.97,7.97,7.93,374.90K,0.13%
"Aug 17, 2020",7.92,7.88,7.98,7.88,81.30K,0.89%
"Aug 14, 2020",7.85,7.98,7.98,7.85,302.00K,-0.76%
"Aug 13, 2020",7.91,7.83,7.98,7.83,163.00K,1.28%
"Aug 12, 2020",7.81,7.94,7.94,7.78,1.02M,-1.76%
"Aug 11, 2020",7.95,7.85,7.97,7.85,93.40K,0.63%
"Aug 10, 2020",7.90,7.85,7.90,7.84,215.00K,1.15%
"Aug 08, 2020",7.81,7.85,7.85,7.81,488.30K,-0.51%
"Aug 07, 2020",7.85,7.80,8.00,7.80,387.30K,0.64%
"Aug 06, 2020",7.80,7.80,7.90,7.78,1.63M,0.26%
"Aug 05, 2020",7.78,7.76,7.81,7.76,653.40K,0.26%
"Aug 04, 2020",7.76,7.80,7.81,7.74,414.50K,-1.77%
"Aug 03, 2020",7.90,7.90,7.90,7.65,601.70K,1.28%
