Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.830,0.835,0.835,0.825,319.80K,0.61%
"Aug 28, 2020",0.825,0.825,0.830,0.820,2.80M,0.00%
"Aug 27, 2020",0.825,0.830,0.830,0.815,1.26M,0.00%
"Aug 26, 2020",0.825,0.825,0.830,0.820,1.25M,0.61%
"Aug 25, 2020",0.820,0.835,0.835,0.820,1.52M,-1.80%
"Aug 24, 2020",0.835,0.815,0.835,0.815,1.37M,2.45%
"Aug 21, 2020",0.815,0.820,0.820,0.810,930.20K,-0.61%
"Aug 19, 2020",0.820,0.820,0.825,0.810,730.60K,0.00%
"Aug 18, 2020",0.820,0.810,0.825,0.805,1.09M,1.23%
"Aug 17, 2020",0.810,0.820,0.820,0.800,1.58M,-1.22%
"Aug 14, 2020",0.820,0.835,0.840,0.795,4.67M,-2.96%
"Aug 13, 2020",0.845,0.845,0.850,0.830,1.64M,-0.59%
"Aug 12, 2020",0.850,0.855,0.855,0.820,2.73M,0.00%
"Aug 11, 2020",0.850,0.850,0.860,0.840,5.16M,0.59%
"Aug 10, 2020",0.845,0.830,0.850,0.815,4.33M,1.81%
"Aug 07, 2020",0.830,0.835,0.850,0.830,6.21M,1.22%
"Aug 06, 2020",0.820,0.830,0.835,0.815,2.50M,-1.20%
"Aug 05, 2020",0.830,0.820,0.840,0.810,3.62M,1.22%
"Aug 04, 2020",0.820,0.830,0.840,0.810,2.53M,0.61%
"Aug 03, 2020",0.815,0.790,0.820,0.785,3.02M,3.82%
