Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.620,0.625,0.625,0.595,1.58M,-1.59%
"Nov 25, 2020",0.630,0.590,0.650,0.580,5.51M,7.69%
"Nov 24, 2020",0.585,0.610,0.610,0.570,2.82M,-3.31%
"Nov 23, 2020",0.605,0.655,0.660,0.605,5.49M,-3.97%
"Nov 20, 2020",0.630,0.525,0.660,0.525,20.29M,18.87%
"Nov 19, 2020",0.530,0.515,0.530,0.510,2.22M,2.91%
"Nov 18, 2020",0.515,0.515,0.520,0.505,1.29M,0.00%
"Nov 17, 2020",0.515,0.520,0.530,0.505,2.77M,0.00%
"Nov 16, 2020",0.515,0.495,0.515,0.495,1.53M,4.04%
"Nov 13, 2020",0.495,0.495,0.500,0.495,911.30K,1.02%
"Nov 12, 2020",0.490,0.480,0.490,0.480,1.73M,2.08%
"Nov 11, 2020",0.480,0.485,0.490,0.480,827.40K,0.00%
"Nov 10, 2020",0.480,0.475,0.495,0.475,3.26M,2.13%
"Nov 09, 2020",0.470,0.475,0.475,0.470,384.30K,1.08%
"Nov 06, 2020",0.465,0.475,0.475,0.465,912.90K,-1.06%
"Nov 05, 2020",0.470,0.465,0.480,0.465,1.62M,1.08%
"Nov 04, 2020",0.465,0.470,0.470,0.460,288.60K,0.00%
"Nov 03, 2020",0.465,0.460,0.475,0.460,170.60K,1.09%
"Nov 02, 2020",0.460,0.460,0.465,0.455,829.00K,0.00%
"Oct 30, 2020",0.460,0.480,0.480,0.460,952.50K,-3.16%
"Oct 28, 2020",0.475,0.485,0.485,0.475,412.60K,-1.04%
"Oct 27, 2020",0.480,0.485,0.485,0.475,889.10K,-1.03%
"Oct 26, 2020",0.485,0.490,0.490,0.480,1.36M,-1.02%
