Date,Price,Open,High,Low,Vol.,Change %
"Aug 28, 2020",0.200,0.190,0.200,0.190,30.10K,5.26%
"Aug 27, 2020",0.190,0.190,0.200,0.190,546.00K,0.00%
"Aug 26, 2020",0.190,0.190,0.205,0.190,105.00K,8.57%
"Aug 25, 2020",0.175,0.180,0.180,0.175,10.00K,-2.78%
"Aug 21, 2020",0.180,0.180,0.180,0.180,10.00K,-5.26%
"Aug 19, 2020",0.190,0.170,0.190,0.170,60.20K,8.57%
"Aug 18, 2020",0.175,0.175,0.180,0.170,409.20K,2.94%
"Aug 17, 2020",0.170,0.175,0.175,0.170,80.00K,0.00%
"Aug 14, 2020",0.170,0.170,0.170,0.170,20.00K,0.00%
"Aug 13, 2020",0.170,0.175,0.175,0.165,213.70K,0.00%
"Aug 12, 2020",0.170,0.170,0.170,0.170,200.20K,0.00%
"Aug 11, 2020",0.170,0.175,0.175,0.170,126.40K,-2.86%
"Aug 10, 2020",0.175,0.170,0.175,0.170,344.50K,0.00%
"Aug 07, 2020",0.175,0.170,0.175,0.170,179.00K,2.94%
"Aug 06, 2020",0.170,0.170,0.170,0.170,90.00K,-2.86%
"Aug 04, 2020",0.175,0.175,0.175,0.160,151.00K,0.00%
