Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.225,0.240,0.245,0.225,22.45M,-2.17%
"Aug 28, 2020",0.230,0.215,0.250,0.210,87.54M,6.98%
"Aug 27, 2020",0.215,0.215,0.220,0.210,12.25M,-2.27%
"Aug 26, 2020",0.220,0.220,0.230,0.210,36.50M,2.33%
"Aug 25, 2020",0.215,0.230,0.235,0.200,33.40M,-6.52%
"Aug 24, 2020",0.230,0.240,0.245,0.225,25.94M,-2.13%
"Aug 21, 2020",0.235,0.220,0.250,0.210,69.73M,6.82%
"Aug 19, 2020",0.220,0.190,0.230,0.185,85.64M,15.79%
"Aug 18, 2020",0.190,0.205,0.205,0.175,61.77M,-5.00%
"Aug 17, 2020",0.200,0.270,0.270,0.190,85.45M,-24.53%
"Aug 14, 2020",0.265,0.290,0.290,0.235,43.58M,-7.02%
"Aug 13, 2020",0.285,0.295,0.300,0.260,51.20M,-3.39%
"Aug 12, 2020",0.295,0.320,0.325,0.180,209.42M,1.72%
"Aug 11, 2020",0.290,0.255,0.305,0.235,164.85M,23.40%
"Aug 10, 2020",0.235,0.165,0.255,0.155,192.17M,51.61%
"Aug 07, 2020",0.155,0.155,0.165,0.145,67.31M,3.33%
"Aug 06, 2020",0.150,0.145,0.155,0.135,44.06M,3.45%
"Aug 05, 2020",0.145,0.165,0.170,0.140,52.47M,-9.38%
"Aug 04, 2020",0.160,0.110,0.170,0.105,181.62M,52.38%
"Aug 03, 2020",0.105,0.100,0.110,0.090,37.94M,10.53%
