Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.990,0.970,0.990,0.970,104.70K,1.54%
"Nov 25, 2020",0.975,0.960,1.000,0.960,295.30K,-0.51%
"Nov 24, 2020",0.980,1.000,1.000,0.960,899.70K,-2.97%
"Nov 23, 2020",1.010,1.030,1.030,1.010,540.30K,-1.94%
"Nov 20, 2020",1.030,1.030,1.050,1.020,720.30K,0.00%
"Nov 19, 2020",1.030,1.060,1.080,1.030,383.20K,-2.83%
"Nov 18, 2020",1.060,1.040,1.090,1.020,1.26M,1.92%
"Nov 17, 2020",1.040,1.010,1.080,0.990,688.30K,0.00%
"Nov 16, 2020",1.040,1.040,1.100,1.030,479.40K,-1.89%
"Nov 13, 2020",1.060,1.010,1.130,0.995,2.01M,6.00%
"Nov 12, 2020",1.000,0.920,1.020,0.920,2.50M,7.53%
"Nov 11, 2020",0.930,0.930,0.930,0.920,835.40K,0.00%
"Nov 10, 2020",0.930,0.920,0.930,0.920,1.13M,0.54%
"Nov 09, 2020",0.925,0.925,0.930,0.920,1.01M,0.00%
"Nov 06, 2020",0.925,0.920,0.930,0.920,944.20K,0.00%
"Nov 05, 2020",0.925,0.930,0.930,0.920,920.30K,0.00%
"Nov 04, 2020",0.925,0.925,0.930,0.915,451.80K,-0.54%
"Nov 03, 2020",0.930,0.925,0.930,0.915,1.26M,0.54%
"Nov 02, 2020",0.925,0.910,0.930,0.905,3.23M,-0.54%
"Oct 30, 2020",0.930,0.915,0.930,0.910,1.40M,0.00%
"Oct 28, 2020",0.930,0.920,0.930,0.920,856.20K,0.00%
"Oct 27, 2020",0.930,0.925,0.930,0.925,190.00K,0.00%
"Oct 26, 2020",0.930,0.930,0.930,0.915,737.20K,1.09%
