Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.21,0.21,0.21,0.21,-,0.00%
"Aug 28, 2020",0.20,0.21,0.21,0.20,502.20K,0.00%
"Aug 27, 2020",0.20,0.22,0.22,0.20,481.20K,-4.65%
"Aug 26, 2020",0.22,0.20,0.22,0.20,5.33M,4.88%
"Aug 25, 2020",0.20,0.21,0.22,0.20,372.10K,0.00%
"Aug 24, 2020",0.21,0.20,0.21,0.20,173.40K,0.00%
"Aug 21, 2020",0.21,0.20,0.22,0.20,81.20K,0.00%
"Aug 19, 2020",0.21,0.21,0.21,0.21,155.00K,-2.33%
"Aug 18, 2020",0.22,0.20,0.22,0.20,1.44M,4.88%
"Aug 17, 2020",0.20,0.20,0.20,0.20,1.12M,0.00%
"Aug 14, 2020",0.20,0.20,0.20,0.20,498.60K,0.00%
"Aug 13, 2020",0.20,0.20,0.20,0.20,267.50K,0.00%
"Aug 12, 2020",0.20,0.21,0.21,0.20,1.15M,0.00%
"Aug 11, 2020",0.21,0.22,0.22,0.21,1.88M,-2.33%
"Aug 10, 2020",0.22,0.22,0.23,0.22,3.74M,0.00%
"Aug 07, 2020",0.22,0.22,0.23,0.22,4.63M,0.00%
"Aug 06, 2020",0.22,0.25,0.25,0.22,7.07M,-8.33%
"Aug 05, 2020",0.24,0.20,0.24,0.19,6.06M,20.00%
"Aug 04, 2020",0.20,0.20,0.20,0.19,1.37M,0.00%
"Aug 03, 2020",0.20,0.20,0.21,0.19,3.01M,0.00%
