Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",1.120,1.110,1.130,1.080,2.88M,0.90%
"Nov 25, 2020",1.110,1.100,1.170,1.100,5.62M,0.00%
"Nov 24, 2020",1.110,1.130,1.140,1.110,2.39M,-1.77%
"Nov 23, 2020",1.130,1.120,1.160,1.100,10.85M,0.89%
"Nov 20, 2020",1.120,1.060,1.130,1.040,3.34M,4.67%
"Nov 19, 2020",1.070,1.190,1.190,1.070,5.82M,-9.32%
"Nov 18, 2020",1.180,1.160,1.220,1.140,2.81M,0.85%
"Nov 17, 2020",1.170,1.270,1.280,1.170,7.13M,-8.59%
"Nov 16, 2020",1.280,1.230,1.300,1.200,13.83M,2.40%
"Nov 13, 2020",1.250,1.280,1.300,1.250,15.74M,-3.85%
"Nov 12, 2020",1.300,1.290,1.320,1.260,8.88M,1.56%
"Nov 11, 2020",1.280,1.210,1.350,1.200,14.73M,5.79%
"Nov 10, 2020",1.210,1.160,1.230,1.130,10.06M,3.42%
"Nov 09, 2020",1.170,1.130,1.200,1.130,9.92M,4.46%
"Nov 06, 2020",1.120,1.110,1.150,1.090,13.40M,1.82%
"Nov 05, 2020",1.100,1.060,1.100,1.050,5.22M,4.76%
"Nov 04, 2020",1.050,1.080,1.110,1.050,10.86M,-2.78%
"Nov 03, 2020",1.080,1.030,1.140,1.030,15.42M,4.85%
"Nov 02, 2020",1.030,1.030,1.040,1.020,5.53M,0.00%
"Oct 30, 2020",1.030,1.040,1.070,1.020,5.90M,-0.96%
"Oct 28, 2020",1.040,1.040,1.060,1.020,7.38M,-0.95%
"Oct 27, 2020",1.050,1.030,1.070,1.020,7.14M,1.94%
"Oct 26, 2020",1.030,1.030,1.050,1.020,5.36M,0.98%
