Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.625,0.600,0.625,0.595,4.16M,4.17%
"Nov 25, 2020",0.600,0.600,0.605,0.595,1.58M,0.84%
"Nov 24, 2020",0.595,0.610,0.610,0.590,1.79M,-2.46%
"Nov 23, 2020",0.610,0.605,0.610,0.600,4.11M,1.67%
"Nov 20, 2020",0.600,0.590,0.615,0.590,3.42M,1.69%
"Nov 19, 2020",0.590,0.615,0.630,0.585,5.90M,-4.07%
"Nov 18, 2020",0.615,0.610,0.625,0.610,3.91M,0.00%
"Nov 17, 2020",0.615,0.630,0.630,0.605,5.39M,-2.38%
"Nov 16, 2020",0.630,0.635,0.640,0.620,7.99M,0.80%
"Nov 13, 2020",0.625,0.620,0.640,0.600,18.16M,2.46%
"Nov 12, 2020",0.610,0.575,0.615,0.575,16.53M,6.09%
"Nov 11, 2020",0.575,0.580,0.595,0.570,4.99M,-0.86%
"Nov 10, 2020",0.580,0.600,0.600,0.575,4.87M,-1.69%
"Nov 09, 2020",0.590,0.600,0.610,0.575,17.35M,-0.84%
"Nov 06, 2020",0.595,0.585,0.600,0.575,19.10M,3.48%
"Nov 05, 2020",0.575,0.560,0.575,0.560,6.58M,2.68%
"Nov 04, 2020",0.560,0.570,0.570,0.545,5.96M,0.00%
"Nov 03, 2020",0.560,0.550,0.585,0.535,26.38M,5.66%
"Nov 02, 2020",0.530,0.515,0.535,0.495,5.51M,2.91%
"Oct 30, 2020",0.515,0.535,0.535,0.510,4.75M,-4.63%
"Oct 28, 2020",0.540,0.545,0.555,0.535,4.26M,-0.92%
"Oct 27, 2020",0.545,0.545,0.555,0.540,2.27M,0.00%
"Oct 26, 2020",0.545,0.550,0.555,0.545,2.11M,-0.91%
