Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.305,0.300,0.315,0.290,5.18M,3.39%
"Aug 28, 2020",0.295,0.295,0.305,0.285,7.72M,1.72%
"Aug 27, 2020",0.290,0.275,0.315,0.270,17.77M,5.45%
"Aug 26, 2020",0.275,0.285,0.285,0.270,4.35M,1.85%
"Aug 25, 2020",0.270,0.280,0.280,0.270,2.41M,-3.57%
"Aug 24, 2020",0.280,0.285,0.290,0.275,6.03M,0.00%
"Aug 21, 2020",0.280,0.255,0.285,0.255,6.98M,9.80%
"Aug 19, 2020",0.255,0.245,0.260,0.240,2.47M,4.08%
"Aug 18, 2020",0.245,0.230,0.250,0.230,1.13M,6.52%
"Aug 17, 2020",0.230,0.240,0.240,0.230,1.94M,-4.17%
"Aug 14, 2020",0.240,0.245,0.245,0.240,1.20M,-4.00%
"Aug 13, 2020",0.250,0.255,0.255,0.245,601.10K,2.04%
"Aug 12, 2020",0.245,0.260,0.260,0.240,1.81M,-3.92%
"Aug 11, 2020",0.255,0.265,0.270,0.255,2.44M,-3.77%
"Aug 10, 2020",0.265,0.260,0.270,0.260,3.08M,1.92%
"Aug 07, 2020",0.260,0.270,0.270,0.255,2.48M,-1.89%
"Aug 06, 2020",0.265,0.240,0.265,0.240,7.96M,15.22%
"Aug 05, 2020",0.230,0.240,0.240,0.225,3.82M,-6.12%
"Aug 04, 2020",0.245,0.250,0.255,0.245,3.44M,-2.00%
"Aug 03, 2020",0.250,0.265,0.270,0.245,5.28M,-3.85%
