Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",1.280,1.280,1.280,1.280,-,-1.54%
"Nov 25, 2020",1.300,1.270,1.300,1.270,16.30K,4.00%
"Nov 24, 2020",1.250,1.250,1.260,1.250,20.00K,-1.57%
"Nov 19, 2020",1.270,1.250,1.270,1.250,19.90K,4.96%
"Nov 18, 2020",1.210,1.200,1.220,1.200,43.60K,-1.63%
"Nov 17, 2020",1.230,1.230,1.240,1.160,60.00K,-2.38%
"Nov 16, 2020",1.260,1.250,1.260,1.250,22.20K,0.80%
"Nov 13, 2020",1.250,1.220,1.250,1.210,29.90K,2.46%
"Nov 11, 2020",1.220,1.220,1.220,1.220,0.10K,0.00%
"Nov 10, 2020",1.220,1.220,1.220,1.220,5.00K,5.17%
"Nov 05, 2020",1.160,1.160,1.160,1.160,0.50K,0.00%
"Oct 30, 2020",1.160,1.160,1.160,1.160,5.00K,0.00%
"Oct 26, 2020",1.160,1.170,1.170,1.160,15.00K,-0.85%
