Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",1.510,1.520,1.520,1.510,16.00K,-0.66%
"Aug 28, 2020",1.520,1.530,1.530,1.520,96.70K,-1.30%
"Aug 27, 2020",1.540,1.600,1.600,1.520,157.70K,-7.23%
"Aug 26, 2020",1.660,1.660,1.680,1.660,343.20K,0.00%
"Aug 25, 2020",1.660,1.650,1.660,1.650,133.30K,0.61%
"Aug 24, 2020",1.650,1.650,1.660,1.640,72.00K,0.61%
"Aug 21, 2020",1.640,1.640,1.670,1.640,99.00K,0.61%
"Aug 19, 2020",1.630,1.640,1.650,1.630,141.10K,-0.61%
"Aug 18, 2020",1.640,1.630,1.640,1.630,43.00K,0.61%
"Aug 17, 2020",1.630,1.630,1.630,1.620,59.30K,0.00%
"Aug 14, 2020",1.630,1.610,1.630,1.600,42.70K,1.24%
"Aug 13, 2020",1.610,1.610,1.630,1.610,77.90K,0.00%
"Aug 12, 2020",1.610,1.610,1.630,1.600,160.80K,-0.62%
"Aug 11, 2020",1.620,1.630,1.630,1.610,93.00K,-0.61%
"Aug 10, 2020",1.630,1.630,1.630,1.610,34.50K,0.00%
"Aug 07, 2020",1.630,1.640,1.650,1.630,43.60K,-0.61%
"Aug 06, 2020",1.640,1.640,1.650,1.630,75.20K,0.00%
"Aug 05, 2020",1.640,1.630,1.640,1.610,44.60K,1.86%
"Aug 04, 2020",1.610,1.600,1.610,1.600,93.50K,0.00%
"Aug 03, 2020",1.610,1.620,1.620,1.610,102.00K,-0.62%
