Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.865,0.850,0.875,0.830,1.02M,1.76%
"Nov 25, 2020",0.850,0.835,0.870,0.835,1.09M,1.80%
"Nov 24, 2020",0.835,0.890,0.890,0.830,1.83M,-6.18%
"Nov 23, 2020",0.890,0.905,0.910,0.875,1.46M,-1.66%
"Nov 20, 2020",0.905,0.900,0.935,0.880,4.49M,0.56%
"Nov 19, 2020",0.900,0.815,0.920,0.805,8.86M,9.76%
"Nov 18, 2020",0.820,0.810,0.860,0.785,4.43M,1.23%
"Nov 17, 2020",0.810,0.815,0.865,0.805,5.94M,-12.43%
"Nov 16, 2020",0.925,0.950,0.985,0.885,19.84M,6.32%
"Nov 13, 2020",0.870,0.760,1.000,0.760,26.29M,16.78%
"Nov 12, 2020",0.745,0.735,0.745,0.725,919.60K,1.36%
"Nov 11, 2020",0.735,0.725,0.745,0.720,638.10K,1.38%
"Nov 10, 2020",0.725,0.710,0.725,0.710,446.10K,1.40%
"Nov 09, 2020",0.715,0.740,0.740,0.710,292.90K,-2.72%
"Nov 06, 2020",0.735,0.755,0.755,0.725,291.80K,-2.00%
"Nov 05, 2020",0.750,0.700,0.755,0.700,1.40M,7.14%
"Nov 04, 2020",0.700,0.700,0.700,0.690,362.80K,0.00%
"Nov 03, 2020",0.700,0.700,0.705,0.690,575.70K,0.00%
"Nov 02, 2020",0.700,0.690,0.700,0.690,273.70K,0.00%
"Oct 30, 2020",0.700,0.710,0.720,0.690,482.90K,-1.41%
"Oct 28, 2020",0.710,0.730,0.730,0.705,409.80K,-0.70%
"Oct 27, 2020",0.715,0.715,0.725,0.715,182.70K,0.70%
"Oct 26, 2020",0.710,0.730,0.730,0.710,234.20K,-2.74%
