Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",1.150,1.150,1.150,1.150,-,0.00%
"Aug 28, 2020",1.150,1.150,1.150,1.150,58.00K,34.50%
"Aug 27, 2020",0.855,0.855,0.855,0.855,3.39M,54.05%
"Aug 25, 2020",0.555,0.540,0.595,0.540,2.90M,3.74%
"Aug 24, 2020",0.535,0.520,0.535,0.520,1.05M,2.88%
"Aug 21, 2020",0.520,0.510,0.525,0.510,1.95M,1.96%
"Aug 19, 2020",0.510,0.505,0.520,0.505,519.60K,0.99%
"Aug 18, 2020",0.505,0.500,0.515,0.500,323.30K,3.06%
"Aug 17, 2020",0.490,0.485,0.500,0.485,95.50K,0.00%
"Aug 14, 2020",0.490,0.495,0.495,0.490,115.00K,-2.00%
"Aug 13, 2020",0.500,0.500,0.500,0.495,231.60K,1.01%
"Aug 12, 2020",0.495,0.495,0.500,0.490,100.00K,-1.00%
"Aug 11, 2020",0.500,0.500,0.500,0.490,35.00K,0.00%
"Aug 10, 2020",0.500,0.480,0.500,0.480,180.00K,4.17%
"Aug 07, 2020",0.480,0.500,0.510,0.480,171.50K,-4.00%
"Aug 06, 2020",0.500,0.510,0.510,0.500,171.90K,-1.96%
"Aug 05, 2020",0.510,0.500,0.515,0.500,160.00K,3.03%
"Aug 04, 2020",0.495,0.485,0.510,0.485,73.50K,-1.00%
"Aug 03, 2020",0.500,0.485,0.500,0.475,142.00K,4.17%
