Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.500,0.490,0.505,0.490,10.00K,4.17%
"Aug 28, 2020",0.480,0.510,0.510,0.480,36.10K,-5.88%
"Aug 27, 2020",0.510,0.470,0.520,0.470,131.90K,9.68%
"Aug 26, 2020",0.465,0.455,0.465,0.455,51.40K,12.05%
"Aug 24, 2020",0.415,0.415,0.415,0.415,1.30K,-4.60%
"Aug 21, 2020",0.435,0.435,0.435,0.435,2.70K,0.00%
"Aug 19, 2020",0.435,0.435,0.435,0.435,17.90K,-1.14%
"Aug 17, 2020",0.440,0.445,0.445,0.440,12.30K,-2.22%
"Aug 14, 2020",0.450,0.450,0.450,0.450,2.70K,-5.26%
"Aug 13, 2020",0.475,0.475,0.475,0.475,58.70K,1.06%
"Aug 11, 2020",0.470,0.460,0.470,0.460,29.20K,2.17%
"Aug 10, 2020",0.460,0.460,0.460,0.460,2.70K,5.75%
"Aug 07, 2020",0.435,0.435,0.435,0.435,2.70K,-3.33%
"Aug 06, 2020",0.450,0.455,0.455,0.450,30.10K,3.45%
"Aug 05, 2020",0.435,0.435,0.435,0.435,22.00K,0.00%
"Aug 04, 2020",0.435,0.435,0.435,0.435,32.80K,1.16%
"Aug 03, 2020",0.430,0.430,0.430,0.430,1.20K,0.00%
