Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.700,0.700,0.700,0.700,-,0.00%
"Aug 28, 2020",0.700,0.665,0.700,0.665,40.00K,5.26%
"Aug 27, 2020",0.665,0.685,0.685,0.665,49.90K,-3.62%
"Aug 26, 2020",0.690,0.695,0.700,0.690,375.70K,-5.48%
"Aug 25, 2020",0.730,0.695,0.730,0.695,1.70K,0.00%
"Aug 21, 2020",0.730,0.695,0.730,0.695,6.00K,5.04%
"Aug 19, 2020",0.695,0.700,0.700,0.695,61.00K,-0.71%
"Aug 17, 2020",0.700,0.690,0.700,0.685,143.80K,2.19%
"Aug 14, 2020",0.685,0.685,0.685,0.685,5.50K,-10.46%
"Aug 12, 2020",0.765,0.680,0.765,0.670,23.40K,9.29%
"Aug 10, 2020",0.700,0.700,0.700,0.700,71.20K,0.00%
"Aug 07, 2020",0.700,0.700,0.700,0.700,64.00K,0.00%
"Aug 04, 2020",0.700,0.650,0.700,0.650,10.80K,6.06%
