Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2020",1.180,1.250,1.260,1.100,83.42M,-7.09%
"Sep 14, 2020",1.270,1.060,1.290,1.040,124.68M,25.74%
"Sep 11, 2020",1.010,0.820,1.030,0.785,88.56M,21.69%
"Sep 10, 2020",0.830,0.920,0.945,0.830,13.32M,-8.29%
"Sep 09, 2020",0.905,0.905,0.940,0.880,10.68M,-2.16%
"Sep 08, 2020",0.925,0.995,1.000,0.900,17.80M,-4.64%
"Sep 07, 2020",0.970,1.030,1.050,0.960,10.68M,-4.90%
"Sep 04, 2020",1.020,0.965,1.060,0.960,15.38M,0.99%
"Sep 03, 2020",1.010,1.140,1.170,1.000,35.71M,-10.62%
"Sep 02, 2020",1.130,0.935,1.200,0.925,110.30M,22.16%
"Sep 01, 2020",0.925,0.960,0.970,0.925,12.80M,0.00%
"Aug 28, 2020",0.925,0.940,0.965,0.910,12.19M,-1.60%
"Aug 27, 2020",0.940,1.020,1.030,0.935,23.91M,-6.00%
"Aug 26, 2020",1.000,0.890,1.030,0.880,38.96M,8.70%
"Aug 25, 2020",0.920,1.030,1.030,0.865,35.47M,-13.21%
"Aug 24, 2020",1.060,1.170,1.190,1.040,22.82M,-9.40%
"Aug 21, 2020",1.170,1.220,1.230,1.120,33.04M,0.00%
"Aug 19, 2020",1.170,1.110,1.300,1.100,108.50M,6.36%
"Aug 18, 2020",1.100,0.810,1.100,0.790,114.18M,37.50%
"Aug 17, 2020",0.800,0.835,0.905,0.775,36.63M,-4.19%
