Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.305,0.305,0.305,0.305,-,-3.17%
"Aug 28, 2020",0.315,0.330,0.330,0.315,133.50K,3.28%
"Aug 27, 2020",0.305,0.305,0.305,0.305,18.00K,0.00%
"Aug 26, 2020",0.305,0.305,0.305,0.305,3.00K,-3.17%
"Aug 25, 2020",0.315,0.310,0.330,0.305,253.20K,3.28%
"Aug 24, 2020",0.305,0.305,0.305,0.305,7.80K,0.00%
"Aug 21, 2020",0.305,0.305,0.305,0.305,91.20K,-3.17%
"Aug 18, 2020",0.315,0.310,0.315,0.310,15.50K,-1.56%
"Aug 13, 2020",0.320,0.320,0.320,0.315,48.50K,3.23%
"Aug 12, 2020",0.310,0.310,0.335,0.305,141.60K,-1.59%
"Aug 11, 2020",0.315,0.350,0.350,0.310,122.50K,-5.97%
"Aug 10, 2020",0.335,0.350,0.350,0.315,177.60K,-4.29%
"Aug 07, 2020",0.350,0.310,0.365,0.310,654.80K,16.67%
"Aug 06, 2020",0.300,0.300,0.305,0.300,157.00K,0.00%
"Aug 05, 2020",0.300,0.300,0.300,0.300,135.00K,-1.64%
"Aug 04, 2020",0.305,0.295,0.305,0.295,150.00K,1.67%
"Aug 03, 2020",0.300,0.305,0.305,0.300,235.00K,-1.64%
