Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",3.21,3.11,3.22,3.11,577.80K,3.22%
"Aug 28, 2020",3.11,3.14,3.14,3.11,395.10K,-0.96%
"Aug 27, 2020",3.14,3.15,3.17,3.13,840.30K,-0.63%
"Aug 26, 2020",3.16,3.13,3.19,3.11,798.80K,0.64%
"Aug 25, 2020",3.14,3.13,3.20,3.12,1.32M,0.96%
"Aug 24, 2020",3.11,3.06,3.14,3.05,1.36M,1.97%
"Aug 21, 2020",3.05,3.03,3.12,3.03,865.30K,0.99%
"Aug 19, 2020",3.02,2.97,3.03,2.97,356.30K,2.03%
"Aug 18, 2020",2.96,3.00,3.06,2.95,1.03M,-4.52%
"Aug 17, 2020",3.10,2.95,3.14,2.95,1.21M,4.73%
"Aug 14, 2020",2.96,3.10,3.10,2.90,696.80K,-3.27%
"Aug 13, 2020",3.06,2.90,3.10,2.89,1.60M,6.99%
"Aug 12, 2020",2.86,3.00,3.00,2.78,716.10K,-3.38%
"Aug 11, 2020",2.96,2.89,2.97,2.88,952.60K,3.50%
"Aug 10, 2020",2.86,2.86,2.89,2.85,270.10K,0.70%
"Aug 07, 2020",2.84,2.86,2.88,2.83,489.70K,-0.35%
"Aug 06, 2020",2.85,2.85,2.88,2.79,578.90K,0.00%
"Aug 05, 2020",2.85,2.73,2.85,2.72,546.60K,4.01%
"Aug 04, 2020",2.74,2.73,2.74,2.70,454.40K,0.00%
"Aug 03, 2020",2.74,2.79,2.80,2.73,544.80K,-1.79%
