Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.135,0.140,0.140,0.135,7.18M,0.00%
"Aug 28, 2020",0.135,0.140,0.145,0.135,50.95M,-3.57%
"Aug 27, 2020",0.140,0.145,0.155,0.140,111.55M,0.00%
"Aug 26, 2020",0.140,0.140,0.145,0.140,15.78M,0.00%
"Aug 25, 2020",0.140,0.145,0.150,0.140,41.60M,-3.45%
"Aug 24, 2020",0.145,0.140,0.145,0.135,51.87M,7.41%
"Aug 21, 2020",0.135,0.140,0.140,0.135,12.42M,0.00%
"Aug 19, 2020",0.135,0.135,0.140,0.130,25.96M,3.85%
"Aug 18, 2020",0.130,0.135,0.140,0.130,32.39M,-3.70%
"Aug 17, 2020",0.135,0.135,0.140,0.130,24.01M,0.00%
"Aug 14, 2020",0.135,0.140,0.150,0.130,93.00M,-3.57%
"Aug 13, 2020",0.140,0.130,0.165,0.130,504.04M,7.69%
"Aug 12, 2020",0.130,0.130,0.130,0.120,36.28M,4.00%
"Aug 11, 2020",0.125,0.135,0.135,0.125,26.02M,-3.85%
"Aug 10, 2020",0.130,0.130,0.140,0.125,51.25M,4.00%
"Aug 07, 2020",0.125,0.130,0.135,0.125,47.06M,-3.85%
"Aug 06, 2020",0.130,0.125,0.130,0.120,45.65M,4.00%
"Aug 05, 2020",0.125,0.125,0.125,0.120,13.10M,0.00%
"Aug 04, 2020",0.125,0.130,0.130,0.120,40.09M,-3.85%
"Aug 03, 2020",0.130,0.130,0.130,0.125,6.43M,0.00%
