Date,Price,Open,High,Low,Vol.,Change %
"Nov 24, 2020",2.150,2.030,2.150,2.030,21.80K,5.91%
"Nov 20, 2020",2.030,1.950,2.030,1.950,33.10K,1.50%
"Nov 19, 2020",2.000,2.000,2.000,2.000,10.00K,0.00%
"Nov 18, 2020",2.000,1.990,2.000,1.960,3.80K,2.56%
"Nov 17, 2020",1.950,1.950,1.950,1.950,2.00K,0.00%
"Nov 13, 2020",1.950,1.950,1.950,1.950,6.20K,4.84%
"Nov 09, 2020",1.860,1.860,1.860,1.860,10.00K,1.09%
"Oct 30, 2020",1.840,1.950,1.950,1.800,6.40K,-5.64%
"Oct 28, 2020",1.950,1.950,1.950,1.950,1.20K,-1.52%
"Oct 27, 2020",1.980,1.980,1.980,1.980,2.00K,-0.50%
