Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.685,0.695,0.700,0.680,117.60K,0.00%
"Nov 25, 2020",0.685,0.675,0.695,0.675,445.00K,3.01%
"Nov 24, 2020",0.665,0.665,0.665,0.665,50.00K,-1.48%
"Nov 23, 2020",0.675,0.670,0.675,0.670,31.00K,0.75%
"Nov 20, 2020",0.670,0.670,0.670,0.670,70.00K,0.75%
"Nov 19, 2020",0.665,0.660,0.665,0.660,15.00K,-2.21%
"Nov 18, 2020",0.680,0.675,0.680,0.670,40.00K,0.00%
"Nov 17, 2020",0.680,0.680,0.685,0.675,384.60K,-2.16%
"Nov 16, 2020",0.695,0.695,0.700,0.695,43.20K,-0.71%
"Nov 13, 2020",0.700,0.690,0.700,0.685,111.30K,0.72%
"Nov 12, 2020",0.695,0.695,0.695,0.690,74.30K,2.21%
"Nov 11, 2020",0.680,0.700,0.700,0.675,42.00K,-0.73%
"Nov 10, 2020",0.685,0.680,0.685,0.675,50.90K,1.48%
"Nov 09, 2020",0.675,0.670,0.685,0.670,77.60K,-0.74%
"Nov 06, 2020",0.680,0.680,0.700,0.675,115.10K,1.49%
"Nov 05, 2020",0.670,0.660,0.705,0.635,350.60K,8.94%
"Nov 04, 2020",0.615,0.625,0.650,0.615,51.80K,5.13%
"Nov 03, 2020",0.585,0.600,0.645,0.585,110.00K,-1.68%
"Nov 02, 2020",0.595,0.600,0.605,0.595,88.10K,-2.46%
"Oct 30, 2020",0.610,0.615,0.615,0.610,47.50K,-0.81%
"Oct 28, 2020",0.615,0.620,0.620,0.610,63.00K,-1.60%
"Oct 26, 2020",0.625,0.650,0.650,0.625,28.50K,-1.57%
