Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",3.25,3.26,3.26,3.24,39.00K,-0.31%
"Aug 28, 2020",3.26,3.26,3.28,3.24,154.80K,0.62%
"Aug 27, 2020",3.24,3.28,3.28,3.22,246.40K,0.00%
"Aug 26, 2020",3.24,3.28,3.31,3.23,196.30K,-1.22%
"Aug 25, 2020",3.28,3.31,3.33,3.28,609.10K,0.61%
"Aug 24, 2020",3.26,3.25,3.30,3.23,965.60K,0.62%
"Aug 21, 2020",3.24,3.17,3.30,3.16,525.80K,2.53%
"Aug 19, 2020",3.16,3.16,3.17,3.14,144.40K,0.00%
"Aug 18, 2020",3.16,3.13,3.17,3.13,443.40K,0.00%
"Aug 17, 2020",3.16,3.16,3.16,3.15,141.50K,0.32%
"Aug 14, 2020",3.15,3.15,3.17,3.15,314.10K,-0.94%
"Aug 13, 2020",3.18,3.13,3.20,3.12,91.00K,0.95%
"Aug 12, 2020",3.15,3.15,3.15,3.08,419.90K,0.00%
"Aug 11, 2020",3.15,3.12,3.16,3.11,234.90K,0.64%
"Aug 10, 2020",3.13,3.17,3.17,3.12,230.60K,-1.26%
"Aug 07, 2020",3.17,3.25,3.25,3.17,56.50K,-1.55%
"Aug 06, 2020",3.22,3.20,3.32,3.17,992.90K,1.26%
"Aug 05, 2020",3.18,3.11,3.18,3.08,157.50K,1.60%
"Aug 04, 2020",3.13,3.10,3.14,3.06,310.20K,0.32%
"Aug 03, 2020",3.12,3.07,3.14,3.05,304.60K,1.63%
