Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.735,0.750,0.750,0.730,1.15M,-2.00%
"Aug 28, 2020",0.750,0.745,0.755,0.740,2.85M,1.35%
"Aug 27, 2020",0.740,0.730,0.755,0.730,2.48M,1.37%
"Aug 26, 2020",0.730,0.745,0.760,0.730,5.04M,-1.35%
"Aug 25, 2020",0.740,0.720,0.740,0.720,8.06M,4.23%
"Aug 24, 2020",0.710,0.680,0.710,0.680,2.55M,5.19%
"Aug 21, 2020",0.675,0.685,0.695,0.675,1.96M,-1.46%
"Aug 19, 2020",0.685,0.675,0.685,0.675,1.62M,2.24%
"Aug 18, 2020",0.670,0.670,0.675,0.665,509.00K,0.75%
"Aug 17, 2020",0.665,0.680,0.680,0.665,1.39M,-2.21%
"Aug 14, 2020",0.680,0.680,0.685,0.670,1.89M,0.00%
"Aug 13, 2020",0.680,0.685,0.690,0.675,977.10K,-0.73%
"Aug 12, 2020",0.685,0.690,0.690,0.665,1.75M,1.48%
"Aug 11, 2020",0.675,0.675,0.695,0.675,1.96M,0.00%
"Aug 10, 2020",0.675,0.690,0.700,0.670,2.13M,-0.74%
"Aug 07, 2020",0.680,0.690,0.695,0.680,1.87M,-0.73%
"Aug 06, 2020",0.685,0.700,0.705,0.685,1.96M,-1.44%
"Aug 05, 2020",0.695,0.670,0.705,0.665,2.65M,3.73%
"Aug 04, 2020",0.670,0.685,0.690,0.660,3.14M,-2.19%
"Aug 03, 2020",0.685,0.705,0.710,0.685,2.62M,-2.84%
